index	sex	pos	age	tarsus	weight	hares	EarlyLate	logWing	logWeight	WingLength
85	2	2	15	51.4	216	49.4	early	3.90197267	5.375278408	49.5
86	2	3	15	50.6	191	49.4	early	3.784189634	5.252273428	44
87	2	1	16	50.5	216	49.4	early	3.979681654	5.375278408	53.5
88	2	4	14	48.7	206	49.4	early	3.701301974	5.327876169	40.5
90	2	1	9	34.5	96	49.4	early	2.397895273	4.564348191	11
94	2	2	8	32.6	86	49.4	early	2.197224577	4.454347296	9
95	2	4	7	27.8	66	49.4	early	0.693147181	4.189654742	2
97	1	2	8	30.1	103	49.4	early	2.079441542	4.634728988	8
98	1	2	19	59.6	318	49.4	early	4.521788577	5.762051383	92
99	2	1	19	59	308	49.4	early	4.510859507	5.730099783	91
100	1	2	16	53.1	279	49.4	early	4.143134726	5.631211782	63
101	2	1	16	53.25	260	49.4	early	4.166665224	5.560681631	64.5
102	2	1	8	33.2	91	49.4	early	2.197224577	4.510859507	9
104	1	1	19	59.2	305	41.3	late	4.454347296	5.720311777	86
105	2	3	14	50.6	205	41.3	late	3.891820298	5.323009979	49
110	1	2	16	55.9	266	41.3	late	4.158883083	5.583496309	64
118	2	2	15	52.6	193	23.5	early	4.060443011	5.262690189	58
122	2	2	19	57.4	273	56.7	early	4.460144414	5.609471795	86.5
126	1	4	18	61.6	361	56.7	early	4.394449155	5.888877958	81
127	2	3	17	56	285	56.7	early	4.248495242	5.65248918	70
128	1	4	14	54.8	311	56.7	early	3.850147602	5.739792912	47
130	1	1	15	52.6	272	49.4	late	3.881563798	5.605802066	48.5
133	2	3	10	36.6	110	49.4	late	3.020424886	4.700480366	20.5
134	1	2	14	50.8	243	49.4	late	3.663561646	5.493061443	39
136	2	3	19	58.9	270	49.4	late	4.477336814	5.598421959	88
140	1	2	16	58.3	313	49.4	early	4.248495242	5.746203191	70
142	1	3	13	55	257	49.4	early	3.784189634	5.549076085	44
143	1	1	16	60	336	49.4	early	4.262679877	5.81711116	71
146	1	3	18	57.7	260	40.9	late	4.388257184	5.560681631	80.5
154	2	1	19	58.6	278	38.8	late	4.49980967	5.627621114	90
155	2	3	15	51.2	206	38.8	late	4.025351691	5.327876169	56
157	2	2	18	54.1	241	38.8	late	4.382026635	5.484796933	80
165	2	3	15	49	170	23.5	late	3.988984047	5.135798437	54
169	1	1	14	48.7	218	56.7	early	3.63758616	5.384495063	38
171	2	3	11	42	168	56.7	early	3.091042453	5.123963979	22
174	1	2	13	51.1	242	56.7	early	3.63758616	5.488937726	38
177	1	4	19	52	283	56.7	early	4.394449155	5.645446898	81
179	2	2	11	43.9	148	56.7	early	3.157000421	4.997212274	23.5
181	1	1	12	46.8	186	56.7	early	3.384390263	5.225746674	29.5
184	2	1	14	46.45	184	56.7	late	3.784189634	5.214935758	44
185	2	2	12	47.1	153	56.7	late	3.295836866	5.030437921	27
186	2	2	12	43.4	165	56.7	late	3.33220451	5.105945474	28
188	1	1	14	51.3	223	56.7	late	3.737669618	5.407171771	42
191	1	3	19	59.6	310	56.7	early	4.505349851	5.736572297	90.5
192	1	3	12	46.6	183	56.7	early	3.401197382	5.209486153	30
193	2	2	15	50.7	213	56.7	early	3.891820298	5.361292166	49
196	1	1	17	51.3	279	56.7	early	4.25561271	5.631211782	70.5
204	2	1	12	43.3	180	56.7	late	3.417726684	5.192956851	30.5
206	1	2	12	43.1	188	56.7	late	3.33220451	5.236441963	28
209	2	3	12	41.2	166	56.7	early	3.295836866	5.111987788	27
211	2	1	12	44.5	193	56.7	early	3.36729583	5.262690189	29
212	2	2	14	49.7	216	56.7	early	3.850147602	5.375278408	47
213	1	2	12	46.2	172	41.3	late	3.610917913	5.147494477	37
214	1	1	14	49.8	214	41.3	late	3.881563798	5.365976015	48.5
215	1	1	19	59.8	243	56.7	early	4.471638793	5.493061443	87.5
216	1	1	12	43.8	173	56.7	early	3.526360525	5.153291594	34
219	1	1	14	51.8	248	38.8	late	3.912023005	5.513428746	50
220	1	2	13	47.5	213	38.8	late	3.80666249	5.361292166	45
224	1	1	14	49.8	216	56.7	late	3.688879454	5.375278408	40
226	1	2	13	47.65	193	56.7	late	3.663561646	5.262690189	39
230	2	3	14	46.3	165	56.7	early	3.817712326	5.105945474	45.5
234	1	1	17	52.6	252	56.7	early	4.17438727	5.529429088	65
236	1	5	17	50.8	263	56.7	early	4.219507705	5.572154032	68
243	2	3	14	48	183	56.7	early	3.80666249	5.209486153	45
247	1	2	16	52.4	258	56.7	early	4.143134726	5.552959585	63
251	2	3	14	43.25	180	56.7	late	3.597312261	5.192956851	36.5
253	1	2	15	48.9	208	56.7	late	3.871201011	5.33753808	48
255	2	4	17	52.4	193	56.7	late	4.241326753	5.262690189	69.5
259	2	1	16	51.15	245	56.7	late	4.094344562	5.501258211	60
264	1	2	16	54.7	267	49.4	early	4.226833745	5.587248658	68.5
265	2	3	14	52	221	49.4	early	4.025351691	5.398162702	56
267	2	1	17	54	246	49.4	early	4.25561271	5.505331536	70.5
269	2	3	15	36.3	70	56.7	early	2.944438979	4.248495242	19
274	2	1	17	54.6	243	56.7	late	4.283586562	5.493061443	72.5
275	1	2	15	50.65	232	56.7	late	3.931825633	5.446737372	51
283	2	4	15	41.3	133	56.7	early	3.871201011	4.890349128	48
285	2	2	18	56.9	258	56.7	early	4.369447852	5.552959585	79
286	2	3	18	54	250	56.7	early	4.197201948	5.521460918	66.5
297	2	1	17	55.6	268	41.3	late	4.343805422	5.590986981	77
300	1	2	19	53.7	233	38.8	late	4.48863637	5.451038454	89
303	1	3	15	48	213	56.7	late	4.007333185	5.361292166	55
316	2	4	16	51.8	205	38.8	early	4.060443011	5.323009979	58
327	1	5	17	56.7	317	41.3	early	4.262679877	5.758901774	71
335	1	5	17	53.8	205	40.9	early	4.158883083	5.323009979	64
336	1	2	18	54.4	265	56.7	late	4.317488114	5.579729826	75
344	2	2	18	58.1	241	41.3	early	4.465908119	5.484796933	87
345	2	1	19	59	256	41.3	early	4.49980967	5.545177444	90
350	1	3	18	53.5	228	38.8	late	4.356708827	5.429345629	78
353	1	3	18	58.6	288	23.5	late	4.290459441	5.66296048	73
355	2	2	18	60	282	23.5	late	4.382026635	5.641907071	80
358	1	1	18	57.2	273	38.8	late	4.418840608	5.609471795	83
360	2	3	18	54.9	253	56.7	early	4.356708827	5.533389489	78
365	1	3	18	58.6	263	38.8	early	4.17438727	5.572154032	65
368	2	3	18	55.8	283	41.3	early	4.430816799	5.645446898	84
374	2	4	18	56.2	271	40.9	early	4.382026635	5.602118821	80
378	1	2	19	60.4	293	56.7	early	4.527208645	5.680172609	92.5
379	1	3	18	58.95	263	56.7	early	4.369447852	5.572154032	79
383	2	3	18	54.2	271	38.8	late	4.418840608	5.602118821	83
388	2	3	19	57	273	38.8	early	4.442651256	5.609471795	85
389	1	4	18	57.3	305	38.8	early	4.317488114	5.720311777	75
391	2	3	19	59.1	320	56.7	early	4.510859507	5.768320996	91
395	2	4	19	57.2	241	41.3	late	4.49980967	5.484796933	90
404	1	3	19	62.4	352	40.9	early	4.477336814	5.863631176	88
407	2	4	19	42.2	168	40.9	late	4.424846632	5.123963979	83.5
415	1	4	19	61.2	337	56.7	early	4.406719247	5.82008293	82
422	2	1	19	54.7	253	38.8	early	4.477336814	5.533389489	88
427	1	4	19	53.2	261	38.8	early	4.189654742	5.564520407	66
432	1	2	19	58.1	289	41.3	early	4.442651256	5.666426688	85
434	1	3	19	57.4	281	40.9	early	4.394449155	5.638354669	81
438	2	1	19	58.1	308	38.8	late	4.454347296	5.730099783	86
441	1	2.5	19	59.3	322	41.3	late	4.510859507	5.774551546	91
443	1	2.5	19	58.4	307	41.3	late	4.510859507	5.726847748	91
445	2	2	19	50.5	173	40.9	late	4.442651256	5.153291594	85
