Lat	Migr	LayDate
52.03484591	Shortdist	185.1089342
52.09586721	Longdist	156.9248456
52.76526931	Shortdist	178.0604165
48.53548139	Longdist	129.6864898
54.5238223	Shortdist	184.4390604
50.83888491	Longdist	129.8855047
48.61641348	Shortdist	121.409459
50.80650178	Longdist	137.068164
51.35054941	Shortdist	158.6548789
51.45209769	Longdist	129.7930681
48.84110976	Shortdist	181.6601931
53.69381258	Longdist	158.8963536
53.39130459	Shortdist	155.3182403
48.13434068	Longdist	164.1144413
51.36521992	Shortdist	145.9922185
53.09966249	Longdist	141.3495295
50.74946569	Shortdist	145.1667407
48.02098434	Longdist	162.187169
49.29877575	Shortdist	162.1065102
50.9362284	Longdist	169.6862546
48.44762656	Shortdist	170.6198182
49.51627342	Longdist	140.4712872
51.50984211	Shortdist	162.1069754
48.21275907	Longdist	160.1801938
53.88796665	Shortdist	196.5701392
49.20579557	Longdist	192.2530986
48.88463255	Shortdist	136.7079475
51.81306404	Longdist	165.5702442
52.23173533	Shortdist	194.9230049
49.56557077	Longdist	175.228935
48.48486761	Shortdist	161.1195235
48.37983404	Longdist	173.9241954
52.07446525	Shortdist	146.5516507
52.17824928	Longdist	149.0964128
53.79194413	Shortdist	149.7446989
53.73825017	Longdist	185.6660644
48.45104996	Shortdist	138.9909065
54.17414964	Longdist	134.1477829
49.2508728	Shortdist	143.1699984
54.48663543	Longdist	178.3284089
50.3409717	Shortdist	179.8945358
54.86435101	Longdist	194.906518
51.13418085	Shortdist	157.2825172
48.34988719	Longdist	137.0165976
53.34789718	Shortdist	216.6597929
52.76048592	Longdist	135.252455
52.83022526	Shortdist	194.8688986
51.07191861	Longdist	120.1776728
53.82982717	Shortdist	157.4611274
53.73576519	Longdist	179.4425216
54.06600759	Shortdist	197.9163656
51.72065967	Longdist	156.5368931
51.49490376	Shortdist	154.1589198
48.07578812	Longdist	161.4188241
51.12713145	Shortdist	175.5994067
50.84463335	Longdist	144.8149888
48.50297071	Shortdist	162.971507
48.51119536	Longdist	107.5279334
53.38987255	Shortdist	152.711995
54.84957488	Longdist	94.9200701
51.49258508	Shortdist	126.5357172
50.64430945	Longdist	187.2027389
50.65441871	Shortdist	159.0429954
