"max_depth" "species" "oxygen"
293.4 "Blue" 4.41
430.4 "Great White" 3.73
301.5 "Blue" 4.61
441.6 "Great White" 4.38
293.1 "Blue" 4.73
295.7 "Blue" 5.61
502.4 "Great White" 5.94
270.7 "Mako" 7.52
317.5 "Blue" 4.9
452.3 "Great White" 4.52
317.6 "Blue" 7.21
565.7 "Great White" 7.56
483.7 "Great White" 5.06
279.4 "Blue" 4.5
250.6 "Mako" 2.27
554.3 "Great White" 7.12
269.9 "Blue" 3.74
267.9 "Blue" 3.31
380.3 "Blue" 9.57
273.6 "Blue" 5.35
468.1 "Great White" 4.95
225.2 "Blue" 0.9
284.6 "Mako" 4.85
332.1 "Blue" 6.46
472.4 "Great White" 5.62
271.5 "Mako" 6.37
265.3 "Mako" 7.98
246 "Mako" 6.75
248.9 "Mako" 4.24
300.5 "Blue" 6.06
265.9 "Mako" 4.7
271 "Mako" 4.19
279.4 "Great White" 0.72
275.2 "Blue" 3.82
481 "Great White" 5.73
606.6 "Great White" 8.25
330.5 "Blue" 5.75
520.4 "Great White" 5.93
433 "Great White" 3.55
305.8 "Blue" 5.24
254 "Mako" 1.88
303.1 "Blue" 5.73
498 "Great White" 6.05
316.2 "Blue" 5.28
287.9 "Mako" 6.05
301.6 "Mako" 5.47
276.9 "Mako" 6.14
361.4 "Blue" 7.76
509.8 "Great White" 6.67
462.8 "Great White" 5.05
268.9 "Mako" 3.33
487.9 "Great White" 5.63
442.3 "Great White" 4.4
332.7 "Blue" 7.24
254.5 "Blue" 2.59
451.8 "Great White" 4.38
508.9 "Great White" 5.63
292.5 "Mako" 4.77
280.4 "Blue" 4.09
440.6 "Great White" 4.54
518.3 "Great White" 5.94
339.9 "Blue" 6.34
319.8 "Blue" 5.99
627.9 "Great White" 8.41
545.2 "Great White" 6.76
325.2 "Blue" 5.43
262.5 "Blue" 4.01
284.7 "Mako" 9.38
532.1 "Great White" 6.02
457.3 "Great White" 3.97
261.5 "Mako" 5.28
298.8 "Blue" 4.51
266.3 "Mako" 4.59
417.8 "Great White" 3.6
507.4 "Great White" 5.18
300.9 "Mako" 5.48
256.1 "Blue" 3.38
200.7 "Blue" 0.15
273.9 "Mako" 4.62
461.4 "Great White" 5.04
263.3 "Mako" 5.89
475.5 "Great White" 5.09
303 "Blue" 5.62
255.3 "Mako" 3.35
507.2 "Great White" 6.07
264.1 "Mako" 6.08
307.9 "Blue" 5.38
284.3 "Mako" 7.04
493.5 "Great White" 5.61
298.3 "Blue" 5.4
282.7 "Mako" 5.4
294.2 "Blue" 5.66
291.7 "Mako" 6.59
285.1 "Mako" 5.68
271.3 "Mako" 5.99
377.5 "Great White" 3.3
270.7 "Mako" 4.44
318.7 "Blue" 7.22
407.3 "Great White" 3.16
282.6 "Mako" 5.39
483.9 "Great White" 5.61
282.3 "Mako" 6.46
263.1 "Mako" 4.48
305.7 "Blue" 5.24
250.9 "Mako" 2.36
476.3 "Great White" 5.51
272.1 "Blue" 4
463.1 "Great White" 4.64
254 "Mako" 3.22
283.5 "Mako" 5.58
516 "Great White" 6
460.5 "Great White" 4.54
605.3 "Great White" 7.74
277.6 "Mako" 6.01
335.8 "Blue" 6.42
301.6 "Mako" 8.07
264 "Mako" 4.02
265.8 "Mako" 6.21
554.7 "Great White" 6.48
295.4 "Blue" 4.99
317.8 "Blue" 5.48
419.5 "Great White" 3.48
514.5 "Great White" 5.71
441.7 "Great White" 3.95
269.4 "Mako" 6.22
302.1 "Blue" 3.78
285.2 "Blue" 5.48
269.9 "Blue" 3.73
275.6 "Mako" 4.63
271.7 "Mako" 2.67
310.2 "Blue" 5.19
523.4 "Great White" 6.48
277 "Mako" 5.27
264.2 "Mako" 2.35
270.4 "Mako" 4.07
590.8 "Great White" 7.48
301.2 "Mako" 7.71
264.5 "Mako" 3.24
451.5 "Great White" 4.45
256.5 "Mako" 5.53
276.7 "Mako" 5.48
428.7 "Great White" 4.13
268.2 "Blue" 3.57
466.5 "Great White" 4.73
272.8 "Mako" 6.51
247 "Mako" 5.04
275.8 "Mako" 4.03
279.5 "Blue" 4.24
556.7 "Great White" 7.42
429 "Great White" 4.33
304.1 "Mako" 6.14
569.9 "Great White" 7.21
279.7 "Mako" 5.67
253.4 "Mako" 4.37
291 "Mako" 4.94
468.9 "Great White" 4.26
342.5 "Blue" 6.84
456.9 "Great White" 4.78
359.2 "Blue" 7.32
289 "Blue" 4.16
426.5 "Great White" 4.03
265 "Mako" 5.21
323.1 "Blue" 5.04
277.1 "Mako" 4.24
373.4 "Great White" 2.63
453.4 "Great White" 5.05
254.7 "Mako" 3.93
274.7 "Mako" 6.62
246.8 "Blue" 3.57
262.7 "Mako" 6.69
291.1 "Blue" 4.03
493.9 "Great White" 5.44
309.7 "Blue" 6.35
451 "Great White" 4.22
476.8 "Great White" 5.83
309.2 "Mako" 4.87
288.6 "Blue" 3.3
312.6 "Blue" 4.59
359.7 "Blue" 7.43
286.6 "Blue" 4.68
437.1 "Great White" 3.77
467.6 "Great White" 4.92
495 "Great White" 5.5
291.2 "Mako" 6.43
544.4 "Great White" 6.72
309.1 "Blue" 5.15
556.9 "Great White" 6.75
262.2 "Blue" 3.85
326.7 "Great White" 1.48
437 "Great White" 4.29
270 "Blue" 4.23
218 "Blue" 1.53
333.1 "Blue" 5.84
436.7 "Great White" 3.82
300.3 "Blue" 4.66
265.9 "Blue" 2.62
509.1 "Great White" 5.82
300.4 "Mako" 7.84
420.3 "Great White" 3.68
290.8 "Mako" 4.83
377.5 "Blue" 7.92
309.6 "Blue" 6.4
356.1 "Blue" 7.87
