SDW	Run	Treatment.ID	Variety	logSDW
0.064	1	RP	KHAO HAWM	-2.748872196
0.088	1	RP	KITRANA 508	-2.430418465
0.076	1	RP	Pai Hok Glutinous	-2.577021939
0.067	1	RP	SML 242	-2.70306266
0.116	1	RP	JC149	-2.154165088
0.055	1	RP	WC 4419	-2.900422094
0.067	1	RP	IR 36	-2.70306266
0.062	1	RP	DEOKJEOKJODO	-2.780620894
0.097	1	RP	BLACK GORA	-2.3330443
0.062	1	RP	PATE BLANC MN 1	-2.780620894
0.071	1	RP	YRL-1	-2.645075402
0.095	1	RP	1021	-2.353878387
0.14	1	RP	BALDO	-1.966112856
0.058	1	RP	Dosel	-2.847312268
0.058	1	RP	9524	-2.847312268
0.084	1	RP	BLUE ROSE	-2.47693848
0.082	1	RP	Aijiaonante	-2.501036032
0.066	1	RP	BR24	-2.718100537
0.061	1	RP	583	-2.796881415
0.094	1	RP	Priano Guaira	-2.364460497
0.091	1	RP	Bergreis	-2.396895772
0.055	1	RP	TONDOK	-2.900422094
0.053	1	RP	LEMONT	-2.937463365
0.074	1	RP	PAUNG MALAUNG	-2.603690186
0.085	1	RP	519	-2.465104022
0.077	1	RP	BLUE ROSE SUPREME	-2.563949857
0.108	1	RP	Caucasica	-2.225624052
0.086	1	RP	WC 4443	-2.453407983
0.055	1	RP	SHINRIKI	-2.900422094
0.091	1	RP	318	-2.396895772
0.091	1	RP	TAICHUNG NATIVE 1	-2.396895772
0.071	1	RP	LA 110	-2.645075402
0.072	1	RP	T26	-2.63108916
0.068	1	RP	KPF-16	-2.688247574
0.14	1	RP	Sadri Tor Misri	-1.966112856
0.116	1	RP	CHINA 1039	-2.154165088
0.039	1	RP	ARIAS	-3.244193633
0.108	1	RP	AGOSTANO	-2.225624052
0.093	1	RP	FORTUNA	-2.375155786
0.057	1	RP	Mojito Colorado	-2.864704011
0.045	1	RP	LUK TAKHAR	-3.101092789
0.085	1	RP	CENIT	-2.465104022
0.073	1	RP	CI 11026	-2.617295838
0.097	1	RP	OSOGOVKA	-2.3330443
0.139	1	RP	Kon Suito	-1.973281346
0.086	1	RP	BELLARDONE	-2.453407983
0.047	1	RP	BASMATI 217	-3.057607677
0.089	1	RP	KUN-MIN-TSIEH-HUNAN	-2.419118909
0.069	1	RP	SRI MALAYSIA DUA	-2.673648774
0.075	1	RP	56-122-23	-2.590267165
0.094	1	RP	PEH-KUH-TSAO-TU	-2.364460497
0.062	1	RP	325	-2.780620894
0.087	1	RP	WC 6	-2.44184716
0.068	1	RP	PAPPAKU	-2.688247574
0.115	1	RP	GHATI KAMMA NANGARHAR	-2.162823151
0.086	1	RP	PAGAIYAHAN	-2.453407983
0.056	1	RP	P 737	-2.882403588
0.103	1	RP	EMATA A 16-34	-2.273026291
0.096	1	RP	British Honduras Creole	-2.343407088
0.048	1	RP	ASSE Y PUNG	-3.036554268
0.08	1	RP	Niquen	-2.525728644
0.067	1	RP	IR-44595	-2.70306266
0.048	1	RP	MANSAKU	-3.036554268
0.073	1	RP	KALAMKATI	-2.617295838
0.104	1	RP	NPE 844	-2.26336438
0.09	1	RP	PADI KASALLE	-2.407945609
0.092	1	RP	Djimoron	-2.385966702
0.051	1	RP	DNJ 140	-2.975929646
0.077	2	AMF+RP	325	-2.563949857
0.075	2	AMF+RP	TAICHUNG NATIVE 1	-2.590267165
0.091	2	AMF+RP	BR24	-2.396895772
0.124	2	AMF+RP	JC149	-2.087473713
0.115	2	AMF+RP	Sadri Tor Misri	-2.162823151
0.062	2	AMF+RP	P 737	-2.780620894
0.105	2	AMF+RP	Pai Hok Glutinous	-2.253794929
0.097	2	AMF+RP	WC 6	-2.3330443
0.044	2	AMF+RP	DEOKJEOKJODO	-3.123565645
0.105	2	AMF+RP	IAC 25	-2.253794929
0.064	2	AMF+RP	Bergreis	-2.748872196
0.069	2	AMF+RP	1021	-2.673648774
0.084	2	AMF+RP	CENIT	-2.47693848
0.086	2	AMF+RP	318	-2.453407983
0.065	2	AMF+RP	OSOGOVKA	-2.733368009
0.082	2	AMF+RP	LUK TAKHAR	-2.501036032
0.072	2	AMF+RP	JAMBU	-2.63108916
0.046	2	AMF+RP	LEMONT	-3.079113882
0.083	2	AMF+RP	Djimoron	-2.488914671
0.053	2	AMF+RP	BLUE ROSE	-2.937463365
0.067	2	AMF+RP	AGOSTANO	-2.70306266
0.101	2	AMF+RP	NIRA	-2.292634762
0.044	2	AMF+RP	Mojito Colorado	-3.123565645
0.087	2	AMF+RP	SML 242	-2.44184716
0.083	2	AMF+RP	BALDO	-2.488914671
0.054	2	AMF+RP	AZUCENA	-2.918771232
0.075	2	AMF+RP	WC 4443	-2.590267165
0.055	2	AMF+RP	British Honduras Creole	-2.900422094
0.043	2	AMF+RP	TONDOK	-3.146555163
0.057	2	AMF+RP	FORTUNA	-2.864704011
0.045	2	AMF+RP	BASMATI 217	-3.101092789
0.074	2	AMF+RP	56-122-23	-2.603690186
0.085	2	AMF+RP	519	-2.465104022
0.054	2	AMF+RP	SHINRIKI	-2.918771232
0.111	2	AMF+RP	KPF-16	-2.198225078
0.056	2	AMF+RP	CI 11026	-2.882403588
0.057	2	AMF+RP	WC 4419	-2.864704011
0.063	2	AMF+RP	Caucasica	-2.764620553
0.062	2	AMF+RP	Kon Suito	-2.780620894
0.052	2	AMF+RP	KITRANA 508	-2.95651156
0.068	2	AMF+RP	Priano Guaira	-2.688247574
0.05	2	AMF+RP	MANSAKU	-2.995732274
0.051	2	AMF+RP	Dosel	-2.975929646
0.066	2	AMF+RP	Aijiaonante	-2.718100537
0.073	2	AMF+RP	T26	-2.617295838
0.034	2	AMF+RP	ASSE Y PUNG	-3.381394754
0.08	2	AMF+RP	PAGAIYAHAN	-2.525728644
0.078	2	AMF+RP	BLACK GORA	-2.551046452
0.082	2	AMF+RP	EMATA A 16-34	-2.501036032
0.081	2	AMF+RP	GHATI KAMMA NANGARHAR	-2.513306124
0.045	2	AMF+RP	KHAO HAWM	-3.101092789
0.073	2	AMF+RP	YRL-1	-2.617295838
0.094	2	AMF+RP	DNJ 140	-2.364460497
0.09	2	AMF+RP	NPE 844	-2.407945609
0.073	2	AMF+RP	PAPPAKU	-2.617295838
0.03	2	AMF+RP	BLUE ROSE SUPREME	-3.506557897
0.067	2	AMF+RP	PADI KASALLE	-2.70306266
0.068	2	AMF+RP	9524	-2.688247574
0.078	2	AMF+RP	PAUNG MALAUNG	-2.551046452
0.079	2	AMF+RP	LA 110	-2.538307427
0.051	2	AMF+RP	BELLARDONE	-2.975929646
0.054	2	AMF+RP	ARIAS	-2.918771232
0.085	2	AMF+RP	PEH-KUH-TSAO-TU	-2.465104022
0.075	2	AMF+RP	KALUBALA VEE	-2.590267165
0.091	2	AMF+RP	KALAMKATI	-2.396895772
0.044	2	AMF+RP	NOVA	-3.123565645
0.064	2	AMF+RP	583	-2.748872196
0.066	2	AMF+RP	CHINA 1039	-2.718100537
0.046	2	AMF+RP	IR-44595	-3.079113882
0.073	2	AMF+RP	SUNG LIAO 2	-2.617295838
0.085	2	AMF+RP	KUN-MIN-TSIEH-HUNAN	-2.465104022
0.065	2	AMF+RP	IR 36	-2.733368009
0.066	2	AMF+RP	PATE BLANC MN 1	-2.718100537
0.053	2	AMF+RP	SRI MALAYSIA DUA	-2.937463365
0.072	2	AMF+RP	Niquen	-2.63108916
0.095	2	RP	325	-2.353878387
0.097	2	RP	TAICHUNG NATIVE 1	-2.3330443
0.098	2	RP	BR24	-2.3227878
0.14	2	RP	JC149	-1.966112856
0.216	2	RP	Sadri Tor Misri	-1.532476871
0.088	2	RP	P 737	-2.430418465
0.144	2	RP	Pai Hok Glutinous	-1.937941979
0.132	2	RP	WC 6	-2.024953356
0.082	2	RP	DEOKJEOKJODO	-2.501036032
0.14	2	RP	IAC 25	-1.966112856
0.097	2	RP	Bergreis	-2.3330443
0.119	2	RP	1021	-2.128631786
0.094	2	RP	CENIT	-2.364460497
0.108	2	RP	318	-2.225624052
0.097	2	RP	OSOGOVKA	-2.3330443
0.079	2	RP	LUK TAKHAR	-2.538307427
0.082	2	RP	JAMBU	-2.501036032
0.078	2	RP	LEMONT	-2.551046452
0.136	2	RP	Djimoron	-1.995100393
0.039	2	RP	BLUE ROSE	-3.244193633
0.111	2	RP	AGOSTANO	-2.198225078
0.146	2	RP	NIRA	-1.924148657
0.077	2	RP	Mojito Colorado	-2.563949857
0.107	2	RP	SML 242	-2.234926445
0.136	2	RP	BALDO	-1.995100393
0.083	2	RP	AZUCENA	-2.488914671
0.118	2	RP	WC 4443	-2.137070655
0.118	2	RP	British Honduras Creole	-2.137070655
0.066	2	RP	TONDOK	-2.718100537
0.105	2	RP	FORTUNA	-2.253794929
0.06	2	RP	BASMATI 217	-2.813410717
0.078	2	RP	56-122-23	-2.551046452
0.104	2	RP	519	-2.26336438
0.078	2	RP	SHINRIKI	-2.551046452
0.118	2	RP	KPF-16	-2.137070655
0.109	2	RP	CI 11026	-2.216407397
0.068	2	RP	WC 4419	-2.688247574
0.097	2	RP	Caucasica	-2.3330443
0.12	2	RP	Kon Suito	-2.120263536
0.092	2	RP	KITRANA 508	-2.385966702
0.126	2	RP	Priano Guaira	-2.071473372
0.066	2	RP	MANSAKU	-2.718100537
0.06	2	RP	Dosel	-2.813410717
0.095	2	RP	Aijiaonante	-2.353878387
0.107	2	RP	T26	-2.234926445
0.093	2	RP	ASSE Y PUNG	-2.375155786
0.116	2	RP	PAGAIYAHAN	-2.154165088
0.133	2	RP	BLACK GORA	-2.017406151
0.123	2	RP	EMATA A 16-34	-2.095570924
0.134	2	RP	GHATI KAMMA NANGARHAR	-2.009915479
0.068	2	RP	KHAO HAWM	-2.688247574
0.085	2	RP	YRL-1	-2.465104022
0.098	2	RP	DNJ 140	-2.3227878
0.107	2	RP	NPE 844	-2.234926445
0.098	2	RP	PAPPAKU	-2.3227878
0.093	2	RP	BLUE ROSE SUPREME	-2.375155786
0.108	2	RP	PADI KASALLE	-2.225624052
0.072	2	RP	9524	-2.63108916
0.11	2	RP	PAUNG MALAUNG	-2.207274913
0.113	2	RP	LA 110	-2.18036746
0.076	2	RP	BELLARDONE	-2.577021939
0.052	2	RP	ARIAS	-2.95651156
0.14	2	RP	PEH-KUH-TSAO-TU	-1.966112856
0.157	2	RP	KALUBALA VEE	-1.851509474
0.09	2	RP	KALAMKATI	-2.407945609
0.067	2	RP	NOVA	-2.70306266
0.085	2	RP	583	-2.465104022
0.108	2	RP	CHINA 1039	-2.225624052
0.085	2	RP	IR-44595	-2.465104022
0.104	2	RP	SUNG LIAO 2	-2.26336438
0.103	2	RP	KUN-MIN-TSIEH-HUNAN	-2.273026291
0.098	2	RP	IR 36	-2.3227878
0.093	2	RP	PATE BLANC MN 1	-2.375155786
0.087	2	RP	SRI MALAYSIA DUA	-2.44184716
0.127	2	RP	Niquen	-2.063568193
0.095	2	None	325	-2.353878387
0.095	2	None	TAICHUNG NATIVE 1	-2.353878387
0.072	2	None	BR24	-2.63108916
0.102	2	None	JC149	-2.282782466
0.146	2	None	Sadri Tor Misri	-1.924148657
0.083	2	None	P 737	-2.488914671
0.112	2	None	Pai Hok Glutinous	-2.189256408
0.104	2	None	WC 6	-2.26336438
0.069	2	None	DEOKJEOKJODO	-2.673648774
0.109	2	None	IAC 25	-2.216407397
0.102	2	None	Bergreis	-2.282782466
0.106	2	None	1021	-2.244316185
0.088	2	None	CENIT	-2.430418465
0.092	2	None	318	-2.385966702
0.115	2	None	OSOGOVKA	-2.162823151
0.035	2	None	LUK TAKHAR	-3.352407217
0.091	2	None	JAMBU	-2.396895772
0.057	2	None	LEMONT	-2.864704011
0.098	2	None	Djimoron	-2.3227878
0.074	2	None	BLUE ROSE	-2.603690186
0.101	2	None	AGOSTANO	-2.292634762
0.137	2	None	NIRA	-1.987774353
0.06	2	None	Mojito Colorado	-2.813410717
0.13	2	None	SML 242	-2.040220829
0.104	2	None	BALDO	-2.26336438
0.077	2	None	AZUCENA	-2.563949857
0.109	2	None	WC 4443	-2.216407397
0.085	2	None	British Honduras Creole	-2.465104022
0.062	2	None	TONDOK	-2.780620894
0.087	2	None	FORTUNA	-2.44184716
0.065	2	None	BASMATI 217	-2.733368009
0.062	2	None	56-122-23	-2.780620894
0.091	2	None	519	-2.396895772
0.035	2	None	SHINRIKI	-3.352407217
0.098	2	None	KPF-16	-2.3227878
0.072	2	None	CI 11026	-2.63108916
0.059	2	None	WC 4419	-2.830217835
0.078	2	None	Caucasica	-2.551046452
0.149	2	None	Kon Suito	-1.903808973
0.081	2	None	KITRANA 508	-2.513306124
0.1	2	None	Priano Guaira	-2.302585093
0.05	2	None	MANSAKU	-2.995732274
0.093	2	None	Dosel	-2.375155786
0.121	2	None	Aijiaonante	-2.111964733
0.082	2	None	T26	-2.501036032
0.062	2	None	ASSE Y PUNG	-2.780620894
0.093	2	None	PAGAIYAHAN	-2.375155786
0.126	2	None	BLACK GORA	-2.071473372
0.108	2	None	EMATA A 16-34	-2.225624052
0.12	2	None	GHATI KAMMA NANGARHAR	-2.120263536
0.092	2	None	KHAO HAWM	-2.385966702
0.092	2	None	YRL-1	-2.385966702
0.105	2	None	DNJ 140	-2.253794929
0.109	2	None	NPE 844	-2.216407397
0.114	2	None	PAPPAKU	-2.171556831
0.103	2	None	BLUE ROSE SUPREME	-2.273026291
0.107	2	None	PADI KASALLE	-2.234926445
0.087	2	None	9524	-2.44184716
0.108	2	None	PAUNG MALAUNG	-2.225624052
0.092	2	None	LA 110	-2.385966702
0.081	2	None	BELLARDONE	-2.513306124
0.049	2	None	ARIAS	-3.015934981
0.118	2	None	PEH-KUH-TSAO-TU	-2.137070655
0.129	2	None	KALUBALA VEE	-2.047942875
0.101	2	None	KALAMKATI	-2.292634762
0.061	2	None	NOVA	-2.796881415
0.078	2	None	583	-2.551046452
0.101	2	None	CHINA 1039	-2.292634762
0.101	2	None	IR-44595	-2.292634762
0.066	2	None	SUNG LIAO 2	-2.718100537
0.094	2	None	KUN-MIN-TSIEH-HUNAN	-2.364460497
0.081	2	None	IR 36	-2.513306124
0.109	2	None	PATE BLANC MN 1	-2.216407397
0.093	2	None	SRI MALAYSIA DUA	-2.375155786
0.156	2	None	Niquen	-1.857899272
0.119	3	AMF+RP	SUNG LIAO 2	-2.128631786
0.136	3	AMF+RP	Niquen	-1.995100393
0.085	3	AMF+RP	325	-2.465104022
0.11	3	AMF+RP	KALAMKATI	-2.207274913
0.1	3	AMF+RP	Kon Suito	-2.302585093
0.143	3	AMF+RP	NIRA	-1.944910649
0.085	3	AMF+RP	JAMBU	-2.465104022
0.074	3	AMF+RP	KITRANA 508	-2.603690186
0.095	3	AMF+RP	Djimoron	-2.353878387
0.119	3	AMF+RP	Priano Guaira	-2.128631786
0.081	3	AMF+RP	CHINA 1039	-2.513306124
0.013	3	AMF+RP	LUK TAKHAR	-4.342805922
0.085	3	AMF+RP	NPE 844	-2.465104022
0.117	3	AMF+RP	BALDO	-2.145581344
0.059	3	AMF+RP	SRI MALAYSIA DUA	-2.830217835
0.097	3	AMF+RP	519	-2.3330443
0.076	3	AMF+RP	TAICHUNG NATIVE 1	-2.577021939
0.049	3	AMF+RP	BLUE ROSE	-3.015934981
0.046	3	AMF+RP	BASMATI 217	-3.079113882
0.053	3	AMF+RP	MANSAKU	-2.937463365
0.086	3	AMF+RP	KALUBALA VEE	-2.453407983
0.093	3	AMF+RP	PEH-KUH-TSAO-TU	-2.375155786
0.118	3	AMF+RP	Sadri Tor Misri	-2.137070655
0.08	3	AMF+RP	T26	-2.525728644
0.07	3	AMF+RP	KUN-MIN-TSIEH-HUNAN	-2.659260037
0.082	3	AMF+RP	WC 4443	-2.501036032
0.078	3	AMF+RP	CI 11026	-2.551046452
0.079	3	AMF+RP	BLUE ROSE SUPREME	-2.538307427
0.041	3	AMF+RP	DEOKJEOKJODO	-3.194183212
0.059	3	AMF+RP	LEMONT	-2.830217835
0.071	3	AMF+RP	BELLARDONE	-2.645075402
0.067	3	AMF+RP	WC 4419	-2.70306266
0.078	3	AMF+RP	KHAO HAWM	-2.551046452
0.105	3	AMF+RP	FORTUNA	-2.253794929
0.069	3	AMF+RP	318	-2.673648774
0.072	3	AMF+RP	SHINRIKI	-2.63108916
0.089	3	AMF+RP	SML 242	-2.419118909
0.053	3	AMF+RP	ASSE Y PUNG	-2.937463365
0.078	3	AMF+RP	CENIT	-2.551046452
0.043	3	AMF+RP	NOVA	-3.146555163
0.082	3	AMF+RP	BLACK GORA	-2.501036032
0.077	3	AMF+RP	9524	-2.563949857
0.066	3	AMF+RP	Bergreis	-2.718100537
0.088	3	AMF+RP	WC 6	-2.430418465
0.05	3	AMF+RP	Mojito Colorado	-2.995732274
0.051	3	AMF+RP	IR-44595	-2.975929646
0.101	3	AMF+RP	AGOSTANO	-2.292634762
0.097	3	AMF+RP	DNJ 140	-2.3330443
0.067	3	AMF+RP	PAGAIYAHAN	-2.70306266
0.082	3	AMF+RP	PADI KASALLE	-2.501036032
0.09	3	AMF+RP	Aijiaonante	-2.407945609
0.086	3	AMF+RP	YRL-1	-2.453407983
0.083	3	AMF+RP	Caucasica	-2.488914671
0.064	3	AMF+RP	British Honduras Creole	-2.748872196
0.112	3	AMF+RP	KPF-16	-2.189256408
0.092	3	AMF+RP	BR24	-2.385966702
0.077	3	AMF+RP	1021	-2.563949857
0.077	3	AMF+RP	IR 36	-2.563949857
0.071	3	AMF+RP	56-122-23	-2.645075402
0.104	3	AMF+RP	Pai Hok Glutinous	-2.26336438
0.061	3	AMF+RP	Dosel	-2.796881415
0.063	3	AMF+RP	P 737	-2.764620553
0.062	3	AMF+RP	PAPPAKU	-2.780620894
0.093	3	AMF+RP	LA 110	-2.375155786
0.113	3	AMF+RP	JC149	-2.18036746
0.093	3	AMF+RP	EMATA A 16-34	-2.375155786
0.103	3	AMF+RP	AZUCENA	-2.273026291
0.112	3	AMF+RP	PATE BLANC MN 1	-2.189256408
0.09	3	AMF+RP	IAC 25	-2.407945609
0.11	3	AMF+RP	OSOGOVKA	-2.207274913
0.07	3	AMF+RP	ARIAS	-2.659260037
0.089	3	AMF+RP	583	-2.419118909
0.128	3	AMF+RP	PAUNG MALAUNG	-2.055725015
0.084	3	AMF+RP	TONDOK	-2.47693848
0.122	3	AMF+RP	GHATI KAMMA NANGARHAR	-2.103734234
0.102	3	RP	SUNG LIAO 2	-2.282782466
0.06	3	RP	Niquen	-2.813410717
0.101	3	RP	325	-2.292634762
0.16	3	RP	KALAMKATI	-1.832581464
0.133	3	RP	Kon Suito	-2.017406151
0.147	3	RP	NIRA	-1.917322692
0.112	3	RP	JAMBU	-2.189256408
0.118	3	RP	KITRANA 508	-2.137070655
0.138	3	RP	Djimoron	-1.980501594
0.127	3	RP	Priano Guaira	-2.063568193
0.168	3	RP	CHINA 1039	-1.7837913
0.072	3	RP	LUK TAKHAR	-2.63108916
0.136	3	RP	NPE 844	-1.995100393
0.159	3	RP	BALDO	-1.838851077
0.106	3	RP	SRI MALAYSIA DUA	-2.244316185
0.128	3	RP	519	-2.055725015
0.113	3	RP	TAICHUNG NATIVE 1	-2.18036746
0.071	3	RP	BLUE ROSE	-2.645075402
0.073	3	RP	BASMATI 217	-2.617295838
0.072	3	RP	MANSAKU	-2.63108916
0.176	3	RP	KALUBALA VEE	-1.737271284
0.12	3	RP	PEH-KUH-TSAO-TU	-2.120263536
0.182	3	RP	Sadri Tor Misri	-1.703748592
0.096	3	RP	T26	-2.343407088
0.132	3	RP	KUN-MIN-TSIEH-HUNAN	-2.024953356
0.108	3	RP	WC 4443	-2.225624052
0.136	3	RP	CI 11026	-1.995100393
0.112	3	RP	BLUE ROSE SUPREME	-2.189256408
0.084	3	RP	DEOKJEOKJODO	-2.47693848
0.075	3	RP	LEMONT	-2.590267165
0.09	3	RP	BELLARDONE	-2.407945609
0.096	3	RP	WC 4419	-2.343407088
0.091	3	RP	KHAO HAWM	-2.396895772
