Entity,Code,Day,Monthly sea surface temperature anomaly
Northern Hemisphere,,1854-01-15,-0.04569
Northern Hemisphere,,1854-02-15,-0.17028
Northern Hemisphere,,1854-03-15,0.05037
Northern Hemisphere,,1854-04-15,-0.02908
Northern Hemisphere,,1854-05-15,-0.02152
Northern Hemisphere,,1854-06-15,-0.11278
Northern Hemisphere,,1854-07-15,-0.16037
Northern Hemisphere,,1854-08-15,0.10624
Northern Hemisphere,,1854-09-15,-0.04479
Northern Hemisphere,,1854-10-15,-0.19163
Northern Hemisphere,,1854-11-15,-0.21442
Northern Hemisphere,,1854-12-15,-0.26196
Northern Hemisphere,,1855-01-15,0.04297
Northern Hemisphere,,1855-02-15,-0.09749
Northern Hemisphere,,1855-03-15,0.1016
Northern Hemisphere,,1855-04-15,-0.09726
Northern Hemisphere,,1855-05-15,-0.33154
Northern Hemisphere,,1855-06-15,-0.10637
Northern Hemisphere,,1855-07-15,-0.16996
Northern Hemisphere,,1855-08-15,-0.10447
Northern Hemisphere,,1855-09-15,-0.22941
Northern Hemisphere,,1855-10-15,0.12342
Northern Hemisphere,,1855-11-15,0.04494
Northern Hemisphere,,1855-12-15,-0.04982
Northern Hemisphere,,1856-01-15,-0.1054
Northern Hemisphere,,1856-02-15,-0.1872
Northern Hemisphere,,1856-03-15,-0.14103
Northern Hemisphere,,1856-04-15,-0.1192
Northern Hemisphere,,1856-05-15,0.00521
Northern Hemisphere,,1856-06-15,-0.23441
Northern Hemisphere,,1856-07-15,-0.49579
Northern Hemisphere,,1856-08-15,-0.38162
Northern Hemisphere,,1856-09-15,-0.25744
Northern Hemisphere,,1856-10-15,-0.16254
Northern Hemisphere,,1856-11-15,-0.57048
Northern Hemisphere,,1856-12-15,-0.62731
Northern Hemisphere,,1857-01-15,-0.56322
Northern Hemisphere,,1857-02-15,-0.22035
Northern Hemisphere,,1857-03-15,-0.35972
Northern Hemisphere,,1857-04-15,-0.36525
Northern Hemisphere,,1857-05-15,-0.31771
Northern Hemisphere,,1857-06-15,-0.10625
Northern Hemisphere,,1857-07-15,-0.33465
Northern Hemisphere,,1857-08-15,-0.20431
Northern Hemisphere,,1857-09-15,-0.15575
Northern Hemisphere,,1857-10-15,-0.37099
Northern Hemisphere,,1857-11-15,-0.42782
Northern Hemisphere,,1857-12-15,-0.27086
Northern Hemisphere,,1858-01-15,-0.26774
Northern Hemisphere,,1858-02-15,-0.31896
Northern Hemisphere,,1858-03-15,-0.41088
Northern Hemisphere,,1858-04-15,-0.24178
Northern Hemisphere,,1858-05-15,-0.50257
Northern Hemisphere,,1858-06-15,-0.53816
Northern Hemisphere,,1858-07-15,-0.4777
Northern Hemisphere,,1858-08-15,-0.47277
Northern Hemisphere,,1858-09-15,-0.4413
Northern Hemisphere,,1858-10-15,-0.04897
Northern Hemisphere,,1858-11-15,-0.25893
Northern Hemisphere,,1858-12-15,-0.21317
Northern Hemisphere,,1859-01-15,-0.33819
Northern Hemisphere,,1859-02-15,-0.28523
Northern Hemisphere,,1859-03-15,-0.14491
Northern Hemisphere,,1859-04-15,-0.1081
Northern Hemisphere,,1859-05-15,-0.22285
Northern Hemisphere,,1859-06-15,-0.09481
Northern Hemisphere,,1859-07-15,-0.28638
Northern Hemisphere,,1859-08-15,-0.03532
Northern Hemisphere,,1859-09-15,-0.36544
Northern Hemisphere,,1859-10-15,-0.17767
Northern Hemisphere,,1859-11-15,-0.32902
Northern Hemisphere,,1859-12-15,-0.35124
Northern Hemisphere,,1860-01-15,-0.40909
Northern Hemisphere,,1860-02-15,-0.26974
Northern Hemisphere,,1860-03-15,-0.11895
Northern Hemisphere,,1860-04-15,-0.11315
Northern Hemisphere,,1860-05-15,-0.24318
Northern Hemisphere,,1860-06-15,-0.32473
Northern Hemisphere,,1860-07-15,-0.2119
Northern Hemisphere,,1860-08-15,-0.32148
Northern Hemisphere,,1860-09-15,-0.10888
Northern Hemisphere,,1860-10-15,-0.01732
Northern Hemisphere,,1860-11-15,-0.03156
Northern Hemisphere,,1860-12-15,-0.04826
Northern Hemisphere,,1861-01-15,-0.30641
Northern Hemisphere,,1861-02-15,-0.89171
Northern Hemisphere,,1861-03-15,-0.4225
Northern Hemisphere,,1861-04-15,0.09058
Northern Hemisphere,,1861-05-15,-0.22601
Northern Hemisphere,,1861-06-15,-0.15967
Northern Hemisphere,,1861-07-15,0.07944
Northern Hemisphere,,1861-08-15,-0.19432
Northern Hemisphere,,1861-09-15,-0.24279
Northern Hemisphere,,1861-10-15,-0.13046
Northern Hemisphere,,1861-11-15,0.04328
Northern Hemisphere,,1861-12-15,0.00681
Northern Hemisphere,,1862-01-15,-0.38183
Northern Hemisphere,,1862-02-15,-0.64725
Northern Hemisphere,,1862-03-15,-0.55009
Northern Hemisphere,,1862-04-15,-0.44616
Northern Hemisphere,,1862-05-15,-0.35129
Northern Hemisphere,,1862-06-15,-0.33162
Northern Hemisphere,,1862-07-15,-0.40935
Northern Hemisphere,,1862-08-15,-0.74633
Northern Hemisphere,,1862-09-15,-0.37824
Northern Hemisphere,,1862-10-15,-0.39217
Northern Hemisphere,,1862-11-15,-0.7003
Northern Hemisphere,,1862-12-15,-0.60117
Northern Hemisphere,,1863-01-15,-0.3272
Northern Hemisphere,,1863-02-15,-0.45287
Northern Hemisphere,,1863-03-15,-0.10214
Northern Hemisphere,,1863-04-15,-0.16663
Northern Hemisphere,,1863-05-15,-0.29546
Northern Hemisphere,,1863-06-15,-0.23685
Northern Hemisphere,,1863-07-15,-0.44418
Northern Hemisphere,,1863-08-15,-0.30098
Northern Hemisphere,,1863-09-15,-0.287
Northern Hemisphere,,1863-10-15,-0.3086
Northern Hemisphere,,1863-11-15,-0.5054
Northern Hemisphere,,1863-12-15,-0.10433
Northern Hemisphere,,1864-01-15,-0.59224
Northern Hemisphere,,1864-02-15,-0.82509
Northern Hemisphere,,1864-03-15,-0.66511
Northern Hemisphere,,1864-04-15,-0.32963
Northern Hemisphere,,1864-05-15,-0.01349
Northern Hemisphere,,1864-06-15,0.04981
Northern Hemisphere,,1864-07-15,0.18694
Northern Hemisphere,,1864-08-15,0.41938
Northern Hemisphere,,1864-09-15,-0.46196
Northern Hemisphere,,1864-10-15,-0.30125
Northern Hemisphere,,1864-11-15,-0.02842
Northern Hemisphere,,1864-12-15,-0.23087
Northern Hemisphere,,1865-01-15,0.00199
Northern Hemisphere,,1865-02-15,0.24841
Northern Hemisphere,,1865-03-15,0.00598
Northern Hemisphere,,1865-04-15,-0.23461
Northern Hemisphere,,1865-05-15,-0.18619
Northern Hemisphere,,1865-06-15,0.18741
Northern Hemisphere,,1865-07-15,-0.18061
Northern Hemisphere,,1865-08-15,-0.35811
Northern Hemisphere,,1865-09-15,0.08757
Northern Hemisphere,,1865-10-15,0.08902
Northern Hemisphere,,1865-11-15,-0.31942
Northern Hemisphere,,1865-12-15,-0.13529
Northern Hemisphere,,1866-01-15,-0.4497
Northern Hemisphere,,1866-02-15,0.19344
Northern Hemisphere,,1866-03-15,-0.31416
Northern Hemisphere,,1866-04-15,-0.46172
Northern Hemisphere,,1866-05-15,-0.46875
Northern Hemisphere,,1866-06-15,0.51343
Northern Hemisphere,,1866-07-15,-0.07371
Northern Hemisphere,,1866-08-15,0.07456
Northern Hemisphere,,1866-09-15,-0.28431
Northern Hemisphere,,1866-10-15,-0.06313
Northern Hemisphere,,1866-11-15,0.11504
Northern Hemisphere,,1866-12-15,-0.07517
Northern Hemisphere,,1867-01-15,-0.01103
Northern Hemisphere,,1867-02-15,-0.00129
Northern Hemisphere,,1867-03-15,0.32567
Northern Hemisphere,,1867-04-15,-0.12026
Northern Hemisphere,,1867-05-15,0.03005
Northern Hemisphere,,1867-06-15,-0.17591
Northern Hemisphere,,1867-07-15,-0.02757
Northern Hemisphere,,1867-08-15,-0.09439
Northern Hemisphere,,1867-09-15,-0.13071
Northern Hemisphere,,1867-10-15,-0.24188
Northern Hemisphere,,1867-11-15,0.11101
Northern Hemisphere,,1867-12-15,-0.448
Northern Hemisphere,,1868-01-15,0.08958
Northern Hemisphere,,1868-02-15,-0.3295
Northern Hemisphere,,1868-03-15,0.02974
Northern Hemisphere,,1868-04-15,0.0952
Northern Hemisphere,,1868-05-15,0.04263
Northern Hemisphere,,1868-06-15,0.28017
Northern Hemisphere,,1868-07-15,0.65398
Northern Hemisphere,,1868-08-15,0.05966
Northern Hemisphere,,1868-09-15,-0.12231
Northern Hemisphere,,1868-10-15,-0.39412
Northern Hemisphere,,1868-11-15,-0.01134
Northern Hemisphere,,1868-12-15,0.09019
Northern Hemisphere,,1869-01-15,-0.1653
Northern Hemisphere,,1869-02-15,0.00713
Northern Hemisphere,,1869-03-15,-0.15501
Northern Hemisphere,,1869-04-15,0.06122
Northern Hemisphere,,1869-05-15,0.17031
Northern Hemisphere,,1869-06-15,-0.15801
Northern Hemisphere,,1869-07-15,-0.03201
Northern Hemisphere,,1869-08-15,0.05897
Northern Hemisphere,,1869-09-15,-0.21218
Northern Hemisphere,,1869-10-15,-0.18882
Northern Hemisphere,,1869-11-15,-0.18935
Northern Hemisphere,,1869-12-15,-0.26053
Northern Hemisphere,,1870-01-15,-0.05072
Northern Hemisphere,,1870-02-15,0.11262
Northern Hemisphere,,1870-03-15,0.01143
Northern Hemisphere,,1870-04-15,-0.00566
Northern Hemisphere,,1870-05-15,0.00221
Northern Hemisphere,,1870-06-15,0.00184
Northern Hemisphere,,1870-07-15,-0.08365
Northern Hemisphere,,1870-08-15,0.09505
Northern Hemisphere,,1870-09-15,-0.09106
Northern Hemisphere,,1870-10-15,-0.03393
Northern Hemisphere,,1870-11-15,-0.17735
Northern Hemisphere,,1870-12-15,-0.04251
Northern Hemisphere,,1871-01-15,-0.22019
Northern Hemisphere,,1871-02-15,-0.37719
Northern Hemisphere,,1871-03-15,-0.14446
Northern Hemisphere,,1871-04-15,0.19234
Northern Hemisphere,,1871-05-15,0.06813
Northern Hemisphere,,1871-06-15,-0.06421
Northern Hemisphere,,1871-07-15,0.07764
Northern Hemisphere,,1871-08-15,-0.26194
Northern Hemisphere,,1871-09-15,-0.41581
Northern Hemisphere,,1871-10-15,-0.38731
Northern Hemisphere,,1871-11-15,-0.447
Northern Hemisphere,,1871-12-15,-0.18885
Northern Hemisphere,,1872-01-15,-0.38627
Northern Hemisphere,,1872-02-15,-0.55167
Northern Hemisphere,,1872-03-15,-0.45481
Northern Hemisphere,,1872-04-15,-0.22982
Northern Hemisphere,,1872-05-15,-0.08997
Northern Hemisphere,,1872-06-15,-0.02739
Northern Hemisphere,,1872-07-15,0.04017
Northern Hemisphere,,1872-08-15,0.2178
Northern Hemisphere,,1872-09-15,0.12861
Northern Hemisphere,,1872-10-15,-0.26708
Northern Hemisphere,,1872-11-15,-0.33629
Northern Hemisphere,,1872-12-15,-0.34639
Northern Hemisphere,,1873-01-15,-0.0682
Northern Hemisphere,,1873-02-15,-0.57895
Northern Hemisphere,,1873-03-15,-0.27119
Northern Hemisphere,,1873-04-15,-0.23996
Northern Hemisphere,,1873-05-15,-0.3312
Northern Hemisphere,,1873-06-15,-0.3958
Northern Hemisphere,,1873-07-15,-0.28475
Northern Hemisphere,,1873-08-15,-0.19021
Northern Hemisphere,,1873-09-15,-0.0837
Northern Hemisphere,,1873-10-15,-0.25673
Northern Hemisphere,,1873-11-15,-0.23159
Northern Hemisphere,,1873-12-15,-0.12832
Northern Hemisphere,,1874-01-15,0.12346
Northern Hemisphere,,1874-02-15,-0.32991
Northern Hemisphere,,1874-03-15,-0.46946
Northern Hemisphere,,1874-04-15,-0.4021
Northern Hemisphere,,1874-05-15,-0.06699
Northern Hemisphere,,1874-06-15,-0.22227
Northern Hemisphere,,1874-07-15,-0.23616
Northern Hemisphere,,1874-08-15,-0.36689
Northern Hemisphere,,1874-09-15,-0.07873
Northern Hemisphere,,1874-10-15,-0.46794
Northern Hemisphere,,1874-11-15,-0.45088
Northern Hemisphere,,1874-12-15,-0.56198
Northern Hemisphere,,1875-01-15,-0.36284
Northern Hemisphere,,1875-02-15,-0.22942
Northern Hemisphere,,1875-03-15,-0.32855
Northern Hemisphere,,1875-04-15,-0.27346
Northern Hemisphere,,1875-05-15,-0.11757
Northern Hemisphere,,1875-06-15,-0.22221
Northern Hemisphere,,1875-07-15,-0.23473
Northern Hemisphere,,1875-08-15,-0.03014
Northern Hemisphere,,1875-09-15,-0.0251
Northern Hemisphere,,1875-10-15,-0.01447
Northern Hemisphere,,1875-11-15,-0.28111
Northern Hemisphere,,1875-12-15,-0.43881
Northern Hemisphere,,1876-01-15,-0.54849
Northern Hemisphere,,1876-02-15,-0.31963
Northern Hemisphere,,1876-03-15,-0.29336
Northern Hemisphere,,1876-04-15,-0.30027
Northern Hemisphere,,1876-05-15,-0.50088
Northern Hemisphere,,1876-06-15,-0.17807
Northern Hemisphere,,1876-07-15,0.09999
Northern Hemisphere,,1876-08-15,-0.06905
Northern Hemisphere,,1876-09-15,-0.19583
Northern Hemisphere,,1876-10-15,-0.38577
Northern Hemisphere,,1876-11-15,-0.1835
Northern Hemisphere,,1876-12-15,0.01138
Northern Hemisphere,,1877-01-15,-0.28419
Northern Hemisphere,,1877-02-15,0.2286
Northern Hemisphere,,1877-03-15,-0.04311
Northern Hemisphere,,1877-04-15,0.00538
Northern Hemisphere,,1877-05-15,-0.02842
Northern Hemisphere,,1877-06-15,0.21805
Northern Hemisphere,,1877-07-15,0.17309
Northern Hemisphere,,1877-08-15,0.35162
Northern Hemisphere,,1877-09-15,0.26122
Northern Hemisphere,,1877-10-15,0.28801
Northern Hemisphere,,1877-11-15,0.32004
Northern Hemisphere,,1877-12-15,0.40214
Northern Hemisphere,,1878-01-15,0.32213
Northern Hemisphere,,1878-02-15,0.29664
Northern Hemisphere,,1878-03-15,0.22521
Northern Hemisphere,,1878-04-15,0.51299
Northern Hemisphere,,1878-05-15,0.33258
Northern Hemisphere,,1878-06-15,0.2742
Northern Hemisphere,,1878-07-15,-0.02586
Northern Hemisphere,,1878-08-15,0.16353
Northern Hemisphere,,1878-09-15,0.1817
Northern Hemisphere,,1878-10-15,-0.20557
Northern Hemisphere,,1878-11-15,-0.28021
Northern Hemisphere,,1878-12-15,-0.02499
Northern Hemisphere,,1879-01-15,0.03252
Northern Hemisphere,,1879-02-15,0.0049
Northern Hemisphere,,1879-03-15,-0.01443
Northern Hemisphere,,1879-04-15,-0.11238
Northern Hemisphere,,1879-05-15,-0.07855
Northern Hemisphere,,1879-06-15,-0.17202
Northern Hemisphere,,1879-07-15,-0.28005
Northern Hemisphere,,1879-08-15,-0.22721
Northern Hemisphere,,1879-09-15,-0.22716
Northern Hemisphere,,1879-10-15,-0.15968
Northern Hemisphere,,1879-11-15,-0.32605
Northern Hemisphere,,1879-12-15,-0.30042
Northern Hemisphere,,1880-01-15,-0.12812
Northern Hemisphere,,1880-02-15,-0.23942
Northern Hemisphere,,1880-03-15,0.01041
Northern Hemisphere,,1880-04-15,0.00878
Northern Hemisphere,,1880-05-15,-0.34208
Northern Hemisphere,,1880-06-15,-0.21622
Northern Hemisphere,,1880-07-15,-0.21183
Northern Hemisphere,,1880-08-15,-0.12203
Northern Hemisphere,,1880-09-15,-0.26384
Northern Hemisphere,,1880-10-15,-0.17217
Northern Hemisphere,,1880-11-15,-0.17228
Northern Hemisphere,,1880-12-15,-0.1701
Northern Hemisphere,,1881-01-15,0.04367
Northern Hemisphere,,1881-02-15,0.06265
Northern Hemisphere,,1881-03-15,0.04105
Northern Hemisphere,,1881-04-15,-0.0137
Northern Hemisphere,,1881-05-15,-0.05913
Northern Hemisphere,,1881-06-15,-0.0625
Northern Hemisphere,,1881-07-15,-0.18083
Northern Hemisphere,,1881-08-15,-0.18906
Northern Hemisphere,,1881-09-15,-0.29574
Northern Hemisphere,,1881-10-15,-0.37162
Northern Hemisphere,,1881-11-15,-0.46726
Northern Hemisphere,,1881-12-15,-0.24018
Northern Hemisphere,,1882-01-15,-0.10925
Northern Hemisphere,,1882-02-15,-0.239
Northern Hemisphere,,1882-03-15,-0.21348
Northern Hemisphere,,1882-04-15,-0.24535
Northern Hemisphere,,1882-05-15,-0.28881
Northern Hemisphere,,1882-06-15,-0.29051
Northern Hemisphere,,1882-07-15,-0.23603
Northern Hemisphere,,1882-08-15,-0.30483
Northern Hemisphere,,1882-09-15,-0.25189
Northern Hemisphere,,1882-10-15,-0.31177
Northern Hemisphere,,1882-11-15,-0.16323
Northern Hemisphere,,1882-12-15,-0.27419
Northern Hemisphere,,1883-01-15,-0.3746
Northern Hemisphere,,1883-02-15,-0.1916
Northern Hemisphere,,1883-03-15,-0.33284
Northern Hemisphere,,1883-04-15,-0.21514
Northern Hemisphere,,1883-05-15,-0.24227
Northern Hemisphere,,1883-06-15,-0.16354
Northern Hemisphere,,1883-07-15,-0.19917
Northern Hemisphere,,1883-08-15,-0.11752
Northern Hemisphere,,1883-09-15,-0.36257
Northern Hemisphere,,1883-10-15,-0.50732
Northern Hemisphere,,1883-11-15,-0.38652
Northern Hemisphere,,1883-12-15,-0.23576
Northern Hemisphere,,1884-01-15,-0.46436
Northern Hemisphere,,1884-02-15,-0.08474
Northern Hemisphere,,1884-03-15,-0.18414
Northern Hemisphere,,1884-04-15,-0.3081
Northern Hemisphere,,1884-05-15,-0.15968
Northern Hemisphere,,1884-06-15,-0.39737
Northern Hemisphere,,1884-07-15,-0.44881
Northern Hemisphere,,1884-08-15,-0.32657
Northern Hemisphere,,1884-09-15,-0.48769
Northern Hemisphere,,1884-10-15,-0.37429
Northern Hemisphere,,1884-11-15,-0.66689
Northern Hemisphere,,1884-12-15,-0.3796
Northern Hemisphere,,1885-01-15,-0.26897
Northern Hemisphere,,1885-02-15,-0.3546
Northern Hemisphere,,1885-03-15,-0.3914
Northern Hemisphere,,1885-04-15,-0.32403
Northern Hemisphere,,1885-05-15,-0.23545
Northern Hemisphere,,1885-06-15,-0.33213
Northern Hemisphere,,1885-07-15,-0.27898
Northern Hemisphere,,1885-08-15,-0.16992
Northern Hemisphere,,1885-09-15,-0.25139
Northern Hemisphere,,1885-10-15,0.01541
Northern Hemisphere,,1885-11-15,-0.25689
Northern Hemisphere,,1885-12-15,-0.14205
Northern Hemisphere,,1886-01-15,-0.0272
Northern Hemisphere,,1886-02-15,-0.25956
Northern Hemisphere,,1886-03-15,-0.17985
Northern Hemisphere,,1886-04-15,-0.23954
Northern Hemisphere,,1886-05-15,-0.2007
Northern Hemisphere,,1886-06-15,-0.28041
Northern Hemisphere,,1886-07-15,-0.24474
Northern Hemisphere,,1886-08-15,-0.35364
Northern Hemisphere,,1886-09-15,-0.46292
Northern Hemisphere,,1886-10-15,-0.34269
Northern Hemisphere,,1886-11-15,-0.43841
Northern Hemisphere,,1886-12-15,-0.44252
Northern Hemisphere,,1887-01-15,-0.46285
Northern Hemisphere,,1887-02-15,-0.50883
Northern Hemisphere,,1887-03-15,-0.34313
Northern Hemisphere,,1887-04-15,-0.35483
Northern Hemisphere,,1887-05-15,-0.45419
Northern Hemisphere,,1887-06-15,-0.23906
Northern Hemisphere,,1887-07-15,-0.23563
Northern Hemisphere,,1887-08-15,-0.25701
Northern Hemisphere,,1887-09-15,-0.49348
Northern Hemisphere,,1887-10-15,-0.27753
Northern Hemisphere,,1887-11-15,-0.34126
Northern Hemisphere,,1887-12-15,-0.08142
Northern Hemisphere,,1888-01-15,-0.13128
Northern Hemisphere,,1888-02-15,-0.28703
Northern Hemisphere,,1888-03-15,-0.15391
Northern Hemisphere,,1888-04-15,-0.01326
Northern Hemisphere,,1888-05-15,-0.06526
Northern Hemisphere,,1888-06-15,-0.01907
Northern Hemisphere,,1888-07-15,-0.17733
Northern Hemisphere,,1888-08-15,-0.20461
Northern Hemisphere,,1888-09-15,-0.17954
Northern Hemisphere,,1888-10-15,-0.00043
Northern Hemisphere,,1888-11-15,-0.05871
Northern Hemisphere,,1888-12-15,0.0171
Northern Hemisphere,,1889-01-15,0.24382
Northern Hemisphere,,1889-02-15,0.0884
Northern Hemisphere,,1889-03-15,0.03726
Northern Hemisphere,,1889-04-15,0.05301
Northern Hemisphere,,1889-05-15,-0.04458
Northern Hemisphere,,1889-06-15,-0.01809
Northern Hemisphere,,1889-07-15,-0.18711
Northern Hemisphere,,1889-08-15,-0.19144
Northern Hemisphere,,1889-09-15,-0.24604
Northern Hemisphere,,1889-10-15,-0.22101
Northern Hemisphere,,1889-11-15,-0.21831
Northern Hemisphere,,1889-12-15,-0.27562
Northern Hemisphere,,1890-01-15,-0.34998
Northern Hemisphere,,1890-02-15,-0.24452
Northern Hemisphere,,1890-03-15,-0.27219
Northern Hemisphere,,1890-04-15,-0.31664
Northern Hemisphere,,1890-05-15,-0.24772
Northern Hemisphere,,1890-06-15,-0.34174
Northern Hemisphere,,1890-07-15,-0.54116
Northern Hemisphere,,1890-08-15,-0.55579
Northern Hemisphere,,1890-09-15,-0.58145
Northern Hemisphere,,1890-10-15,-0.50515
Northern Hemisphere,,1890-11-15,-0.48596
Northern Hemisphere,,1890-12-15,-0.37693
Northern Hemisphere,,1891-01-15,-0.489
Northern Hemisphere,,1891-02-15,-0.24183
Northern Hemisphere,,1891-03-15,-0.20476
Northern Hemisphere,,1891-04-15,-0.24549
Northern Hemisphere,,1891-05-15,-0.05316
Northern Hemisphere,,1891-06-15,0.0016
Northern Hemisphere,,1891-07-15,-0.06755
Northern Hemisphere,,1891-08-15,-0.14494
Northern Hemisphere,,1891-09-15,-0.07162
Northern Hemisphere,,1891-10-15,-0.1645
Northern Hemisphere,,1891-11-15,-0.37483
Northern Hemisphere,,1891-12-15,-0.17997
Northern Hemisphere,,1892-01-15,-0.0901
Northern Hemisphere,,1892-02-15,-0.12188
Northern Hemisphere,,1892-03-15,-0.33195
Northern Hemisphere,,1892-04-15,-0.31006
Northern Hemisphere,,1892-05-15,-0.32362
Northern Hemisphere,,1892-06-15,-0.35629
Northern Hemisphere,,1892-07-15,-0.49513
Northern Hemisphere,,1892-08-15,-0.47437
Northern Hemisphere,,1892-09-15,-0.46066
Northern Hemisphere,,1892-10-15,-0.62467
Northern Hemisphere,,1892-11-15,-0.71679
Northern Hemisphere,,1892-12-15,-0.59415
Northern Hemisphere,,1893-01-15,-0.55764
Northern Hemisphere,,1893-02-15,-0.46117
Northern Hemisphere,,1893-03-15,-0.49436
Northern Hemisphere,,1893-04-15,-0.47515
Northern Hemisphere,,1893-05-15,-0.57052
Northern Hemisphere,,1893-06-15,-0.36997
Northern Hemisphere,,1893-07-15,-0.13184
Northern Hemisphere,,1893-08-15,-0.31295
Northern Hemisphere,,1893-09-15,-0.54359
Northern Hemisphere,,1893-10-15,-0.29815
Northern Hemisphere,,1893-11-15,-0.58004
Northern Hemisphere,,1893-12-15,-0.54847
Northern Hemisphere,,1894-01-15,-0.6043
Northern Hemisphere,,1894-02-15,-0.64024
Northern Hemisphere,,1894-03-15,-0.58547
Northern Hemisphere,,1894-04-15,-0.35822
Northern Hemisphere,,1894-05-15,-0.49992
Northern Hemisphere,,1894-06-15,-0.54585
Northern Hemisphere,,1894-07-15,-0.2382
Northern Hemisphere,,1894-08-15,-0.34832
Northern Hemisphere,,1894-09-15,-0.33534
Northern Hemisphere,,1894-10-15,-0.50784
Northern Hemisphere,,1894-11-15,-0.45679
Northern Hemisphere,,1894-12-15,-0.47647
Northern Hemisphere,,1895-01-15,-0.31539
Northern Hemisphere,,1895-02-15,-0.33065
Northern Hemisphere,,1895-03-15,-0.53136
Northern Hemisphere,,1895-04-15,-0.40966
Northern Hemisphere,,1895-05-15,-0.31661
Northern Hemisphere,,1895-06-15,-0.26255
Northern Hemisphere,,1895-07-15,-0.24114
Northern Hemisphere,,1895-08-15,-0.34574
Northern Hemisphere,,1895-09-15,-0.16879
Northern Hemisphere,,1895-10-15,-0.14113
Northern Hemisphere,,1895-11-15,-0.13513
Northern Hemisphere,,1895-12-15,-0.25799
Northern Hemisphere,,1896-01-15,-0.30281
Northern Hemisphere,,1896-02-15,-0.25715
Northern Hemisphere,,1896-03-15,-0.17428
Northern Hemisphere,,1896-04-15,-0.11531
Northern Hemisphere,,1896-05-15,-0.07103
Northern Hemisphere,,1896-06-15,-0.009
Northern Hemisphere,,1896-07-15,-0.04479
Northern Hemisphere,,1896-08-15,-0.03133
Northern Hemisphere,,1896-09-15,0.09657
Northern Hemisphere,,1896-10-15,-0.17004
Northern Hemisphere,,1896-11-15,-0.02483
Northern Hemisphere,,1896-12-15,0.05623
Northern Hemisphere,,1897-01-15,0.00869
Northern Hemisphere,,1897-02-15,-0.0584
Northern Hemisphere,,1897-03-15,0.18503
Northern Hemisphere,,1897-04-15,0.02417
Northern Hemisphere,,1897-05-15,-0.09066
Northern Hemisphere,,1897-06-15,-0.10997
Northern Hemisphere,,1897-07-15,-0.04079
Northern Hemisphere,,1897-08-15,-0.14671
Northern Hemisphere,,1897-09-15,-0.24237
Northern Hemisphere,,1897-10-15,-0.23039
Northern Hemisphere,,1897-11-15,-0.22442
Northern Hemisphere,,1897-12-15,-0.22338
Northern Hemisphere,,1898-01-15,-0.25174
Northern Hemisphere,,1898-02-15,-0.20862
Northern Hemisphere,,1898-03-15,-0.21062
Northern Hemisphere,,1898-04-15,-0.32745
Northern Hemisphere,,1898-05-15,-0.37644
Northern Hemisphere,,1898-06-15,-0.18708
Northern Hemisphere,,1898-07-15,-0.22479
Northern Hemisphere,,1898-08-15,-0.30722
Northern Hemisphere,,1898-09-15,-0.28267
