"body_length" "habitat" "glyphosphate" "wing_length"
33.57 "Meadow" 0.2 19.88
32.46 "Wetland" 2.3 17.19
19.41 "Wetland" 0.1 10.15
35.66 "Forest" 0.5 20.52
23.96 "Forest" 0.1 10.71
31.48 "Forest" 0.2 15.54
30.38 "Wetland" 0.2 15.12
30.98 "Wetland" 0.1 13.66
28.44 "Forest" 0.2 17.15
37.11 "Meadow" 0 19.67
33.42 "Meadow" 0.1 18.36
24.81 "Forest" 0 15.16
30.08 "Wetland" 1 14.73
23.78 "Meadow" 0.6 9.32
34.96 "Forest" 1.4 20.55
34.32 "Wetland" 0.7 14.45
21.22 "Forest" 0 11.83
30.74 "Meadow" 0.3 11.59
35.55 "Meadow" 1.5 16.48
29.09 "Forest" 2.6 17.58
28.72 "Wetland" 0.1 15.19
28.75 "Forest" 0.9 18.72
34.08 "Wetland" 0.2 14.61
23.86 "Wetland" 0.2 11.65
27.39 "Wetland" 0.3 11.07
26.48 "Meadow" 0.2 14.41
33.44 "Wetland" 0.3 15.42
32.74 "Forest" 0.4 14.83
19.67 "Meadow" 0.1 9.49
24.17 "Meadow" 3.3 11.03
24.1 "Wetland" 1.4 11.31
29.85 "Wetland" 0 17
35.76 "Meadow" 0.2 16.55
41.04 "Forest" 0.1 21.08
32.2 "Forest" 0.3 18.36
35.22 "Meadow" 0.6 20.93
30.63 "Forest" 0.2 16.24
23.67 "Meadow" 0.1 13.54
31.87 "Forest" 0 16.13
29 "Wetland" 0.9 14.26
35.77 "Wetland" 0.1 18.21
27.19 "Meadow" 0.9 10.66
24.31 "Forest" 0.4 17.86
23.53 "Wetland" 3.5 9.6
35.62 "Forest" 0.1 18.5
26.49 "Meadow" 2.4 8.98
29.86 "Wetland" 0.3 14.5
26.88 "Meadow" 0 9.05
20.85 "Meadow" 0.4 8.32
39.52 "Wetland" 0.2 19.02
32.65 "Forest" 0.6 17.83
28.68 "Wetland" 0 8.5
34.54 "Meadow" 0.5 16.2
28.67 "Wetland" 0.3 13.36
28.36 "Forest" 0.4 16.64
23.48 "Forest" 0 11.92
29.01 "Wetland" 0 14.46
26.44 "Wetland" 1 12.46
30.14 "Wetland" 0.1 16.82
24.63 "Forest" 1.2 10.87
24.54 "Meadow" 1.1 9.54
27.15 "Meadow" 1.4 14.03
32.6 "Wetland" 0 17.71
25.15 "Meadow" 0.7 12.34
30.67 "Forest" 0.8 19.06
26.75 "Meadow" 0.8 12.5
30.18 "Forest" 0.3 14.95
38.45 "Forest" 0.1 20.76
25.78 "Wetland" 0 11.01
24 "Forest" 0.4 9.67
32.64 "Forest" 0 17.31
31.63 "Wetland" 0.1 16.91
28.5 "Meadow" 0 13.18
32.76 "Wetland" 2 17.49
23.77 "Wetland" 0.1 10.38
26.02 "Wetland" 0.2 16.13
38.72 "Forest" 0.4 21.28
34.32 "Wetland" 0.6 15.27
33.66 "Wetland" 0.6 22.96
38.68 "Wetland" 0.2 21.38
30.69 "Meadow" 0.2 17.12
34.36 "Forest" 0.5 16.45
35.25 "Wetland" 0 19.99
24.31 "Meadow" 1.9 11.2
29.78 "Forest" 0.2 15.48
41.97 "Meadow" 0.7 22.66
36.22 "Forest" 2.8 18.16
26.16 "Wetland" 0.1 10.54
15.24 "Forest" 0.3 10.96
31.65 "Wetland" 0 13.65
28.47 "Meadow" 0 12.66
26.44 "Wetland" 0 13.72
31.46 "Meadow" 0 18.1
38.69 "Wetland" 0.1 18.17
29.99 "Forest" 0.2 17.96
29.98 "Forest" 0.4 15.45
37.81 "Wetland" 0.3 16.68
28.1 "Forest" 2.5 15.14
26.84 "Meadow" 0.3 12.65
30.69 "Forest" 0.8 17.31
21.37 "Wetland" 0.1 8.58
36.11 "Forest" 0.5 17.64
40.98 "Meadow" 0 19.7
28.16 "Wetland" 0.2 12.12
34.63 "Meadow" 0.3 15.75
27.55 "Wetland" 0.2 13.58
31.04 "Wetland" 0 16.79
31.99 "Forest" 2.1 15.59
35.78 "Meadow" 1.3 19.75
36.21 "Wetland" 0.2 17.51
30.83 "Meadow" 1.8 14.4
33.58 "Wetland" 0.7 14.47
28.11 "Meadow" 0.2 11.49
33.48 "Forest" 1.1 18.14
31.27 "Wetland" 0 12.98
33.35 "Meadow" 0 15.85
26.68 "Forest" 0.4 16.04
28.12 "Forest" 0 13.31
33.76 "Meadow" 0.2 17.08
34.98 "Forest" 0.1 17.42
28.2 "Wetland" 0.4 11.47
26.65 "Meadow" 0 15.34
32.39 "Wetland" 0.1 14.37
27.06 "Meadow" 0.4 9.79
24.77 "Wetland" 0.2 16.68
32.78 "Meadow" 0.7 20.23
35.33 "Forest" 0 15.05
36.44 "Meadow" 0 19.64
32.92 "Meadow" 0.1 19.2
36.32 "Meadow" 0.1 19.95
32.44 "Forest" 1.2 18.13
41.48 "Forest" 0.8 26.46
20.93 "Wetland" 0 8.66
