"year" "city" "alc" "ufo" "chupa"
1985 "Arlington" 7.7 0 -0.25
1986 "Arlington" 9.6 0 0.27
1987 "Arlington" 6.1 3 -0.19
1988 "Arlington" 7.3 0 -0.19
1989 "Arlington" 3.7 0 -0.89
1990 "Arlington" 9.3 0 0.13
1991 "Arlington" 8.8 8 0.91
1992 "Arlington" 5.9 0 -0.33
1993 "Arlington" 10.6 1 0.53
1994 "Arlington" 5.7 0 -0.53
1995 "Arlington" 7 0 -0.19
1981 "Corpus Christi" 10.5 0 0.47
1982 "Corpus Christi" 6.1 0 -0.4
1983 "Corpus Christi" 5.7 0 -0.5
1984 "Corpus Christi" 9.9 0 0.33
1985 "Corpus Christi" 5.3 0 -0.64
1986 "Corpus Christi" 6.9 1 -0.27
1987 "Corpus Christi" 8.9 1 0.19
1988 "Corpus Christi" 5.8 0 -0.45
1989 "Corpus Christi" 7.4 0 -0.25
1990 "Corpus Christi" 10.3 0 0.45
1991 "Corpus Christi" 11.8 1 0.75
1992 "Corpus Christi" 6.8 0 -0.4
1993 "Corpus Christi" 7.5 1 -0.21
1994 "Corpus Christi" 7.7 0 -0.07
1995 "Corpus Christi" 9 0 0.21
1981 "Plano" 7.3 0 -0.21
1982 "Plano" 9.4 1 0.01
1983 "Plano" 5.9 0 -0.54
1984 "Plano" 12.3 0 0.9
1985 "Plano" 3.4 0 -1.07
1986 "Plano" 8.3 1 -0.14
1987 "Plano" 3.8 0 -0.98
1988 "Plano" 7.6 0 -0.3
1989 "Plano" 9.1 0 0.06
1990 "Plano" 8.8 0 -0.07
1991 "Plano" 8.7 0 -0.08
1992 "Plano" 7.7 0 -0.25
1993 "Plano" 10.7 33 3.8
1994 "Plano" 4.9 0 -0.69
1995 "Plano" 9.2 0 0.01
1981 "Laredo" 8 0 -0.2
1982 "Laredo" 13.2 0 1.25
1983 "Laredo" 6.1 0 -0.43
1984 "Laredo" 8.9 0 0.28
1985 "Laredo" 5.9 0 -0.63
1986 "Laredo" 8.1 0 0.04
1987 "Laredo" 5.9 5 0.03
1988 "Laredo" 4.5 0 -0.8
1989 "Laredo" 7.4 0 -0.19
1990 "Laredo" 5.4 0 -0.72
1991 "Laredo" 8.4 1 -0.02
1992 "Laredo" 5.2 0 -0.59
1993 "Laredo" 9.2 6 0.7
1994 "Laredo" 4.9 0 -0.47
1995 "Laredo" 8.4 0 -0.04
1981 "Lubbock" 5 0 -0.87
1982 "Lubbock" 10.5 0 0.45
1983 "Lubbock" 5.5 0 -0.68
1984 "Lubbock" 8.4 0 -0.01
1985 "Lubbock" 7.9 0 -0.15
1986 "Lubbock" 6.1 0 -0.5
1987 "Lubbock" 8.6 0 0.1
1988 "Lubbock" 8.2 0 0.01
1989 "Lubbock" 4.2 1 -0.82
1990 "Lubbock" 7 0 -0.47
1991 "Lubbock" 7.8 0 -0.3
1992 "Lubbock" 8.1 0 -0.05
1993 "Lubbock" 7.9 3 0.06
1994 "Lubbock" 3.7 5 -0.3
1995 "Lubbock" 7.8 0 -0.18
1981 "Garland" 5.7 0 -0.75
1982 "Garland" 8.1 0 -0.17
1983 "Garland" 6.7 0 -0.45
1984 "Garland" 8.8 0 0.09
1985 "Garland" 6.7 0 -0.46
1986 "Garland" 4.3 0 -0.73
1987 "Garland" 3.1 0 -0.95
1988 "Garland" 8.4 0 -0.03
1989 "Garland" 7.5 0 -0.17
1990 "Garland" 9.8 0 0.11
1991 "Garland" 8.4 1 0.09
1992 "Garland" 1.8 0 -1.33
1993 "Garland" 12 1 0.73
1994 "Garland" 6.7 0 -0.15
1995 "Garland" 4.3 0 -0.92
1981 "Irving" 4.4 0 -0.82
1982 "Irving" 8.1 0 -0.15
1983 "Irving" 5.6 0 -0.57
1984 "Irving" 10.5 0 0.6
1985 "Irving" 8.8 1 0.14
1986 "Irving" 11.9 0 0.69
1987 "Irving" 5.6 14 0.92
1988 "Irving" 5.8 0 -0.59
1989 "Irving" 9.2 1 0.33
1990 "Irving" 6.4 0 -0.42
1991 "Irving" 3.6 4 -0.7
1992 "Irving" 2.3 0 -1.02
1993 "Irving" 11 17 2.19
1994 "Irving" 8.3 0 0.13
1995 "Irving" 7.7 0 -0.17
1981 "Amarillo" 5.8 0 -0.37
1982 "Amarillo" 12.7 0 0.7
1983 "Amarillo" 8.6 0 0.02
1984 "Amarillo" 9.4 0 0.13
1985 "Amarillo" 6.2 0 -0.39
1986 "Amarillo" 9.6 0 0.33
1987 "Amarillo" 6 0 -0.57
1988 "Amarillo" 4.6 0 -0.91
1989 "Amarillo" 6.4 0 -0.41
1990 "Amarillo" 11.7 0 0.74
1991 "Amarillo" 12.2 0 0.71
1992 "Amarillo" 7.8 0 -0.13
1993 "Amarillo" 10.5 15 2.09
1994 "Amarillo" 3.2 0 -1.03
1995 "Amarillo" 5.2 0 -0.65
1981 "Grand Prairie" 5.3 0 -0.51
1982 "Grand Prairie" 10.1 0 0.38
1983 "Grand Prairie" 9.7 0 0.28
1984 "Grand Prairie" 6.6 0 -0.44
1985 "Grand Prairie" 3.2 0 -1.22
1986 "Grand Prairie" 6 0 -0.75
1987 "Grand Prairie" 2.4 0 -1.17
1988 "Grand Prairie" 5.8 4 -0.02
1989 "Grand Prairie" 6.5 0 -0.27
1990 "Grand Prairie" 4.9 0 -0.51
1991 "Grand Prairie" 9.6 0 0.05
1992 "Grand Prairie" 8.1 0 -0.3
1993 "Grand Prairie" 8.5 6 0.67
1994 "Grand Prairie" 8.3 2 0.09
1995 "Grand Prairie" 6 0 -0.58
