Family	Species_name	English_name	Egg_mass	F_mass	M_mass	F_tarsus	Clutch_size	Mating_System	Display
146	Carpodacus_erythrinus	Common_Rosefinch	2.25	23.7	23.1	19.1	5.13	3.mixed	3
146	Carpodacus_cassinii	Cassin's_Finch	2.25	28.2	26.9	19	4.5	2.Monogamy	NA
146	Carpodacus_mexicanus	House_Finch	1.95	22.1	21.4	17.2	4.21	3.mixed	4
146	Carpodacus_synoicus	Pale_Rosefinch	2.11	21.5	20.7	19.7	4.5	NA	1
146	Carpodacus_roseus	Pallas's_Rosefinch	2.6	27.5	26.6	20.6	NA	NA	NA
146	Carpodacus_rubicilla	Great_Rosefinch	3.65	45.9	45.9	23.2	4.5	NA	3
146	Pinicola_enucleator	Pine_Grosbeak	4.3	53	53.3	22.5	3.78	NA	NA
146	Loxia_pytyopsittacus	Parrot_Crossbill	3.26	53.8	55	19.6	3.79	NA	4
146	Loxia_scotica	Scottish_Crossbill	2.85	41.8	44.6	18.2	3.5	NA	3
146	Loxia_curvirostra	Red_Crossbill	2.95	40.5	41.2	18	3.3	2.Monogamy	3
146	Loxia_leucoptera	White-winged_Crossbill	2.54	31.6	34	15.9	4	2.Monogamy	3
146	Pyrrhula_pyrrhula	Eurasian_Bullfinch	2.41	31.2	30.9	17.7	4.5	NA	2
146	Coccothraustes_coccothraustes	Hawfinch	3.89	52.9	56.5	20.9	3.8	NA	2
146	Hesperiphona_vespertina	Evening_Grosbeak	3.95	58	61	21	NA	2.Monogamy	NA
146	Loxioides_bailleui	Palila	4	37.6	38.1	24.9	2	NA	NA
146	Viridonia_parva	Anianiau	3.66	10.3	10	NA	NA	NA	NA
146	Hemignathus_wilsoni	Akiapolaau	1.5	27.1	28.9	24.03	NA	NA	NA
146	Loxops_coccineus	Akepa	1.46	10.4	10.6	19.1	1.65	NA	NA
146	Vestiaria_coccinea	Iiwi	2.5	16.7	19.9	23.9	2	NA	NA
146	Himatione_sanguinea	Apapane	4.15	14	16	22.3	2.8	NA	NA
146	Emberiza_citrinella	Yellowhammer	2.94	29.5	29.9	19.2	3.464911132	2.Monogamy	2
146	Emberiza_leucocephalos	Pine_Bunting	2.96	24.6	28.4	19.5	4.5	NA	2
146	Emberiza_cirlus	Cirl_Bunting	2.9	23.6	23.9	18.3	4.2	2.Monogamy	1
146	Emberiza_cia	Rock_Bunting	2.77	22.7	24.2	19.2	4.1	NA	1
146	Emberiza_buchanani	Grey-necked_Bunting	2.45	20.9	21.3	19.5	4.5	NA	1
146	Emberiza_cineracea	Cinereous_Bunting	2.76	24.2	24.4	NA	4.5	NA	NA
146	Emberiza_hortulana	Ortolan_Bunting	2.48	26.1	21.4	18.6	4.5	NA	4
146	Emberiza_caesia	Cretzschmar's_Bunting	2.31	21	21.2	18.3	4.5	NA	NA
146	Emberiza_striolata	House_Bunting	2.03	14.5	15.1	17.5	3.1	NA	3
146	Emberiza_impetuani	Lark-like_Bunting	1.7	14.4	15.1	18.1	2.9	NA	NA
146	Emberiza_tahapisi	Cinnamon-breasted_Bunting	1.69	14.5	13.2	18	2.6	NA	NA
146	Emberiza_capensis	Cape_Bunting	2.06	22.5	20.9	20.2	2.6	NA	4
146	Emberiza_pusilla	Little_Bunting	1.89	15.1	15.7	17.7	5.03	NA	1
146	Emberiza_rustica	Rustic_Bunting	2.46	18.4	19.7	19.1	4.61	NA	1
146	Emberiza_aureola	Yellow-breasted_Bunting	2.46	20	22.3	20.3	4.34	NA	1
146	Emberiza_rutila	Chestnut_Bunting	1.85	16.6	17.6	18.9	NA	NA	NA
146	Emberiza_cabanisi	Cabanis's_Bunting	2.7	24.8	24	19.8	2.5	NA	NA
146	Emberiza_melanocephala	Black-headed_Bunting	3.08	27	29.7	22.2	3.9	2.Monogamy	4
146	Emberiza_bruniceps	Red-headed_Bunting	2.77	24.2	25.3	20.6	3.56	2.Monogamy	4
146	Emberiza_spodocephala	Black-faced_Bunting	2.1	16.7	18.2	19.1	NA	NA	NA
146	Emberiza_pallasi	Pallas's_Bunting	1.6	14.2	14.6	18.2	4.41	NA	3
146	Emberiza_schoeniclus	Reed_Bunting	2.19	17.9	19.7	20.1	4.5	4.polygyny	1
146	Miliaria_calandra	Corn_Bunting	3.91	40.9	52.4	24.7	4.9	4.polygyny	2
146	Calcarius_mccownii	McCown's_Longspur	2.48	25	25.4	19	3.38	2.Monogamy	3
146	Calcarius_lapponicus	Lapland_Longspur	2.46	22.9	24.4	20.9	4.91	3.mixed	5
146	Calcarius_pictus	Smith's_Longspur	2.55	24.3	28.5	20.6	3.94	2.Monogamy	NA
146	Calcarius_ornatus	Chestnut-collared_Longspur	2.03	20.1	19.8	18.8	4.07	2.Monogamy	1
146	Plectrophenax_nivalis	Snow_Bunting	3.12	36	38.7	20.9	5.34	2.Monogamy	3
146	Calamospiza_melanocorys	Lark_Bunting	3.14	35.9	36.1	23.6	3.72	3.mixed	4
146	Melospiza_melodia	Song_Sparrow	2.62	23.4	25	23.98	4	3.mixed	NA
146	Melospiza_lincolnii	Lincoln's_Sparrow	2.1	18.6	19	NA	4.31	2.Monogamy	NA
146	Zonotrichia_querula	Harris's_Sparrow	3.26	33.7	37.4	22.7	4	2.Monogamy	NA
146	Zonotrichia_albicollis	White-throated_Sparrow	2.77	25.1	26.4	NA	4.07	2.Monogamy	NA
146	Zonotrichia_leucophrys	White-crowned_Sparrow	2.91	27.1	30.7	NA	4.5	3.mixed	NA
146	Zonotrichia_atricapilla	Golden-crowned_Sparrow	2.94	32.3	31.7	23.2	4.15	2.Monogamy	NA
146	Junco_hyemalis	Dark-eyed_Junco	2.13	19.2	18.9	20.26	4	2.Monogamy	NA
146	Passerculus_sandwichensis	Savannah_Sparrow	2.56	19.5	19.5	NA	3.87	3.mixed	NA
146	Ammodramus_maritimus	Seaside_Sparrow	2.63	22.2	24.3	NA	3.44	2.Monogamy	3
146	Ammodramus_caudacutus	Sharp-tailed_Sparrow	2.14	16.9	16.8	20.2	3.97	4.polygyny	NA
146	Ammodramus_leconteii	Le_Conte's_Sparrow	1.83	13.8	13.8	18	4.51	2.Monogamy	4
146	Ammodramus_henslowii	Henslow's_Sparrow	1.96	12.7	12.8	NA	4.1	NA	1
146	Ammodramus_bairdii	Baird's_Sparrow	2.21	17.8	18.9	19.8	4.55	2.Monogamy	2
146	Ammodramus_savannarum	Grasshopper_Sparrow	2.01	18.4	17.7	NA	4.28	2.Monogamy	4
146	Spizella_arborea	American_Tree_Sparrow	2.21	17.1	18.6	20	4.96	2.Monogamy	NA
146	Spizella_passerina	Chipping_Sparrow	1.6	13.4	12.1	16.8	3.7	3.mixed	NA
146	Spizella_pallida	Clay-colored_Sparrow	1.46	12.2	11.7	NA	4.04	2.Monogamy	NA
146	Spizella_breweri	Brewer's_Sparrow	1.38	9	8.9	16.8	3.08	2.Monogamy	NA
146	Spizella_pusilla	Field_Sparrow	1.71	13	13.2	16.4	3.75	3.mixed	NA
146	Spizella_atrogularis	Black-chinned_Sparrow	1.63	11.2	11.2	18.6	3.44	2.Monogamy	NA
146	Pooecetes_gramineus	Vesper_Sparrow	2.52	23	24	20.29	3.98	2.Monogamy	NA
146	Chondestes_grammacus	Lark_Sparrow	2.69	27.8	28.3	19.37	4.04	NA	3
146	Amphispiza_bilineata	Black-throated_Sparrow	1.86	13.4	14.1	22.2	2.79	2.Monogamy	NA
146	Amphispiza_belli	Sage_Sparrow	2.09	17.7	18.5	20.6	3.39	NA	2
146	Aimophila_botterii	Botteri's_Sparrow	2.75	21	19.7	NA	3.3	2.Monogamy	2
146	Aimophila_cassinii	Cassin's_Sparrow	2.11	18.1	17.8	NA	3.99	2.Monogamy	3
146	Aimophila_carpalis	Rufous-winged_Sparrow	1.95	15	15	18.81	3.52	NA	1
146	Aimophila_ruficeps	Rufous-crowned_Sparrow	2.9	17.4	18.1	22.4	3.45	2.Monogamy	2
146	Pipilo_erythrophthalmus	Rufous-sided_Towhee	3.65	39.3	41.7	26	NA	2.Monogamy	NA
146	Pipilo_aberti	Abert's_Towhee	3.99	44.7	47.5	27.69	2.85	NA	NA
146	Pipilo_fuscus	Canyon_Towhee	4.55	43	47	25.21	3	2.Monogamy	NA
146	Arremonops_rufivirgatus	Olive_Sparrow	2.99	21.7	23.2	23.75	3.5	NA	NA
146	Vermivora_pinus	Blue-winged_Warbler	1.27	9.1	8.9	17.1	4.34	NA	NA
146	Vermivora_chrysoptera	Golden-winged_Warbler	1.47	9.3	9.3	17.8	5	2.Monogamy	NA
146	Vermivora_peregrina	Tennessee_Warbler	1.29	9.5	9.6	16.98	5.59	2.Monogamy	NA
146	Vermivora_celata	Orange-crowned_Warbler	1.38	9.6	8.8	NA	4.6	2.Monogamy	NA
146	Vermivora_ruficapilla	Nashville_Warbler	1.19	8.6	8.9	17.3	4.71	2.Monogamy	NA
146	Vermivora_virginiae	Virginia's_Warbler	1.27	8.3	8.1	17.4	3.59	2.Monogamy	NA
146	Parula_americana	Northern_Parula	1.26	7.7	8.1	14.5	3.94	2.Monogamy	NA
146	Parula_pitiayumi	Tropical_Parula	1.38	6.6	7.2	15.3	3.14	NA	NA
146	Dendroica_petechia	Yellow_Warbler	1.35	9.6	10	NA	4.41	2.Monogamy	3
146	Dendroica_pensylvanica	Chestnut-sided_Warbler	1.37	12	12.8	17.8	3.92	2.Monogamy	NA
146	Dendroica_magnolia	Magnolia_Warbler	1.31	8.4	8.8	18.03	3.96	2.Monogamy	1
146	Dendroica_tigrina	Cape_May_Warbler	1.33	10.2	11.1	19.2	5.8	2.Monogamy	NA
146	Dendroica_caerulescens	Black-throated_Blue_Warbler	1.49	9	9.8	18.6	3.8	2.Monogamy	NA
146	Dendroica_coronata	Yellow-rumped_Warbler	1.66	12.2	12.9	18.7	3.86	2.Monogamy	3
146	Dendroica_nigrescens	Black-throated_Grey_Warbler	1.35	7.9	8.8	17.3	4	2.Monogamy	NA
146	Dendroica_townsendi	Townsend's_Warbler	1.52	8.6	9.1	17.3	5.7	NA	NA
146	Dendroica_occidentalis	Hermit_Warbler	1.53	10.3	10.4	16.8	4.3	2.Monogamy	NA
146	Dendroica_chrysoparia	Golden-cheeked_Warbler	1.62	9.9	9.9	18.2	3.5	NA	NA
146	Dendroica_fusca	Blackburnian_Warbler	1.47	10.3	10.1	17.5	4	2.Monogamy	1
146	Dendroica_dominica	Yellow-throated_Warbler	1.52	9.5	9.9	17.42	4	NA	NA
146	Dendroica_graciae	Grace's_Warbler	1.43	7.5	8	16.5	3.2	2.Monogamy	1
146	Dendroica_kirtlandii	Kirtland's_Warbler	1.9	14.2	13.7	21.2	4.63	NA	NA
146	Dendroica_discolor	Prairie_Warbler	1.26	7.7	7.3	18.1	3.89	3.mixed	3
146	Dendroica_palmarum	Palm_Warbler	1.52	10.6	9.7	19.6	4.59	3.mixed	NA
146	Dendroica_castanea	Bay-breasted_Warbler	1.55	11.1	12.9	18.3	5.8	2.Monogamy	NA
146	Dendroica_striata	Blackpoll_Warbler	1.78	12.7	11.9	19.1	4.32	3.mixed	NA
146	Dendroica_cerulea	Cerulean_Warbler	1.49	8.2	9.1	NA	3.53	2.Monogamy	NA
146	Setophaga_ruticilla	American_Redstart	1.33	8.7	8.6	17.1	3.89	2.Monogamy	NA
146	Protonotaria_citrea	Prothonotary_Warbler	2.08	15.5	14.3	21.3	4.55	2.Monogamy	NA
146	Helmitheros_vermivorus	Worm-eating_Warbler	1.69	15.2	13.2	18.2	4.92	NA	NA
146	Limnothlypis_swainsonii	Swainson's_Warbler	2.23	12.7	13.6	18.2	3.3	2.Monogamy	NA
146	Seiurus_aurocapillus	Ovenbird	2.59	21.7	22.5	21.6	4.31	2.Monogamy	NA
146	Seiurus_motacilla	Louisiana_Waterthrush	2.51	20.9	20.4	22.9	4.96	NA	NA
146	Geothlypis_trichas	Common_Yellowthroat	1.62	9.9	10.3	NA	3.99	3.mixed	NA
146	Wilsonia_citrina	Hooded_Warbler	1.68	10.3	10.8	22.2	3.61	2.Monogamy	NA
146	Wilsonia_pusilla	Wilson's_Warbler	1.28	7.7	8.1	15.5	4.1	3.mixed	NA
146	Wilsonia_canadensis	Canada_Warbler	1.56	10.2	10.6	18.5	4.37	NA	NA
146	Myioborus_pictus	Painted_Redstart	1.42	9.9	9.7	16.5	3.11	3.mixed	NA
146	Icteria_virens	Yellow-breasted_Chat	3.25	24.8	25.4	27.7	3.68	2.Monogamy	NA
146	Coereba_flaveola	Bananaquit	1.44	9.7	10	NA	NA	2.Monogamy	NA
146	Piranga_flava	Hepatic_Tanager	3.85	39	45	22.6	3.24	2.Monogamy	NA
146	Piranga_rubra	Summer_Tanager	3.5	29.5	29.1	18.8	3.2	2.Monogamy	NA
146	Piranga_olivacea	Scarlet_Tanager	3.31	27.3	29.3	NA	3.45	2.Monogamy	NA
146	Piranga_ludoviciana	Western_Tanager	3.37	29.8	30.3	19.9	3.6	2.Monogamy	NA
146	Ramphocelus_passerinii	Scarlet-rumped_Tanager	3.6	30.2	31.9	NA	NA	2.Monogamy	NA
146	Cyanerpes_cyaneus	Red-legged_Honeycreeper	1.54	14.8	13.5	NA	NA	2.Monogamy	NA
146	Tiaris_olivacea	Yellow-faced_Grassquit	1.36	9.2	9	NA	NA	NA	NA
146	Spiza_americana	Dickcissel	2.75	25.2	28.5	22.6	4.02	4.polygyny	NA
146	Pheucticus_ludovicianus	Rose-breasted_Grosbeak	4.08	45.6	43.6	NA	3.27	2.Monogamy	NA
146	Pheucticus_melanocephalus	Black-headed_Grosbeak	4.18	48.2	46.1	21	3.4	2.Monogamy	NA
146	Cardinalis_cardinalis	Northern_Cardinal	4.58	41	41.7	27.9	2.5	2.Monogamy	3
146	Cardinalis_sinuatus	Pyrrhuloxia	4.07	37	37	24.4	3.38	2.Monogamy	1
146	Guiraca_caerulea	Blue_Grosbeak	3.29	27.5	29.3	NA	NA	2.Monogamy	NA
146	Passerina_amoena	Lazuli_Bunting	1.89	14.9	15.4	16.8	3.42	NA	NA
146	Passerina_cyanea	Indigo_Bunting	1.88	14.4	15	16.61	3	4.polygyny	NA
146	Passerina_versicolor	Varied_Bunting	1.93	12.8	13	NA	3.5	NA	NA
146	Passerina_ciris	Painted_Bunting	2.11	14.6	16.6	NA	2.9	4.polygyny	NA
146	Psarocolius_decumanus	Crested_Oropendola	11.2	154.2	305	NA	NA	4.polygyny	NA
146	Psarocolius_wagleri	Chestnut-headed_Oropendola	8.64	117.3	205.6	NA	NA	4.polygyny	NA
146	Gymnostinops_montezuma	Montezuma_Oropendola	13.5	227.3	401	NA	NA	4.polygyny	NA
146	Cacicus_cela	Yellow-rumped_Cacique	5.25	70.5	104.6	NA	NA	4.polygyny	NA
146	Icterus_graduacauda	Audubon's_Oriole	2.05	41.4	42.5	26.7	4	NA	NA
146	Icterus_gularis	Altamira_Oriole	5	51.5	59.1	29.5	4.38	NA	NA
146	Icterus_galbula	Northern_Oriole	2.95	35.2	36.3	NA	4.67	2.Monogamy	NA
146	Icterus_galbula_bullockii	Bullock's_Oriole	3.1	37.8	37.9	NA	NA	2.Monogamy	NA
146	Icterus_spurius	Orchard_Oriole	2.23	19.4	20.7	22.6	3.91	2.Monogamy	NA
146	Icterus_parisorum	Scott's_Oriole	3.45	35.1	36.3	24.1	3.5	2.Monogamy	NA
146	Xanthocephalus_xanthocephalus	Yellow-headed_Blackbird	4.35	49.7	89.3	NA	3.74	4.polygyny	NA
146	Agelaius_phoeniceus	Red-winged_Blackbird	3.95	39.6	57.3	25.9	3.28	4.polygyny	4
146	Agelaius_tricolor	Tricolored_Blackbird	3.82	45.5	67.5	25.2	3.5	4.polygyny	1
146	Sturnella_militaris	Pampas_Meadowlark	6.25	46	54.3	NA	NA	NA	NA
146	Sturnella_magna	Eastern_Meadowlark	6.3	77.5	98.3	38.7	4.49	3.mixed	NA
146	Sturnella_neglecta	Western_Meadowlark	6.2	89.4	106	36.04	5.1	3.mixed	NA
146	Quiscalus_mexicanus	Great-tailed_Grackle	7.8	115.9	221.5	40.4	3.29	4.polygyny	NA
146	Quiscalus_major	Boat-tailed_Grackle	8	111.2	206.5	NA	2.72	4.polygyny	NA
146	Quiscalus_quiscula	Common_Grackle	6.9	92.2	119.6	33.9	4.8	2.Monogamy	NA
146	Euphagus_carolinus	Rusty_Blackbird	4.62	55.2	64.3	NA	4.48	2.Monogamy	NA
146	Euphagus_cyanocephalus	Brewer's_Blackbird	4.55	58.1	67.2	30.5	4.98	4.polygyny	NA
146	Molothrus_bonariensis	Shiny_Cowbird	4.3	34.1	40	21.9	NA	2.Monogamy	NA
146	Molothrus_aeneus	Bronzed_Cowbird	4.15	56.9	68.9	NA	1	NA	NA
146	Molothrus_ater	Brown-headed_Cowbird	3.12	37.6	47.5	23.3	4.3	2.Monogamy	NA
146	Dolichonyx_oryzivorus	Bobolink	2.75	29.2	33.9	25.2	5.1	4.polygyny	NA
