MOUSE.ID	repro	FUR	code	Day	FoodIntake	LitterMass
35	LACT	non-shave	2	6.5	22.38	43.34
53	LACT	non-shave	2	6.5	17.71	40.44
56	LACT	non-shave	2	6.5	20.70	43.15
9	LACT	non-shave	2	6.5	23.48	48.10
4	LACT	non-shave	2	6.5	23.31	44.63
28	LACT	non-shave	2	6.5	20.31	46.02
41	LACT	non-shave	2	6.5	21.66	38.66
48	LACT	non-shave	2	6.5	21.55	47.85
51	LACT	non-shave	2	6.5	21.09	40.03
11	LACT	non-shave	2	6.5	22.96	47.70
20	LACT	non-shave	2	6.5	20.20	46.42
29	LACT	non-shave	2	6.5	21.45	48.81
23	LACT	non-shave	2	6.5	23.75	56.78
47	LACT	non-shave	2	6.5	19.49	40.91
66	LACT	non-shave	2	6.5	17.02	39.74
21	LACT	non-shave	2	6.5	25.09	52.28
31	LACT	non-shave	2	6.5	18.31	40.80
36	LACT	non-shave	2	6.5	25.20	47.02
13	LACT	shave	1	8.5	27.68	58.49
37	LACT	shave	1	8.5	22.68	53.20
42	LACT	shave	1	8.5	22.74	45.70
55	LACT	shave	1	8.5	21.15	54.39
65	LACT	shave	1	8.5	21.14	46.51
8	LACT	shave	1	8.5	28.84	59.76
32	LACT	shave	1	8.5	24.88	62.40
19	LACT	shave	1	8.5	31.36	58.43
40	LACT	shave	1	8.5	19.43	49.61
7	LACT	shave	1	8.5	28.31	64.97
5	LACT	shave	1	8.5	26.07	68.14
15	LACT	shave	1	8.5	23.00	60.05
14	LACT	shave	1	8.5	26.13	53.54
43	LACT	shave	1	8.5	20.82	56.38
17	LACT	shave	1	8.5	23.65	59.82
18	LACT	shave	1	8.5	30.31	68.45
49	LACT	shave	1	8.5	25.63	67.63
62	LACT	shave	1	8.5	24.23	56.24
64	LACT	shave	1	8.5	23.86	53.02
52	LACT	shave	1	8.5	24.04	55.02
34	LACT	non-shave	2	8.5	21.59	57.92
39	LACT	non-shave	2	8.5	18.57	38.56
35	LACT	non-shave	2	8.5	22.27	49.80
53	LACT	non-shave	2	8.5	19.90	49.12
56	LACT	non-shave	2	8.5	22.10	55.79
9	LACT	non-shave	2	8.5	26.73	61.68
4	LACT	non-shave	2	8.5	26.18	54.76
28	LACT	non-shave	2	8.5	21.75	57.52
41	LACT	non-shave	2	8.5	22.89	45.49
48	LACT	non-shave	2	8.5	25.76	57.76
51	LACT	non-shave	2	8.5	21.58	47.86
11	LACT	non-shave	2	8.5	26.13	58.96
20	LACT	non-shave	2	8.5	23.43	58.33
29	LACT	non-shave	2	8.5	20.62	59.12
23	LACT	non-shave	2	8.5	26.34	69.26
47	LACT	non-shave	2	8.5	19.11	45.88
66	LACT	non-shave	2	8.5	19.01	45.26
21	LACT	non-shave	2	8.5	26.84	63.39
31	LACT	non-shave	2	8.5	18.83	49.24
36	LACT	non-shave	2	8.5	25.38	56.42
13	LACT	shave	1	10.5	28.92	71.26
37	LACT	shave	1	10.5	20.43	62.13
42	LACT	shave	1	10.5	23.99	56.13
55	LACT	shave	1	10.5	21.66	63.70
65	LACT	shave	1	10.5	20.79	57.92
8	LACT	shave	1	10.5	29.59	69.99
32	LACT	shave	1	10.5	23.14	73.85
19	LACT	shave	1	10.5	34.91	69.34
40	LACT	shave	1	10.5	21.52	56.96
7	LACT	shave	1	10.5	23.03	74.93
5	LACT	shave	1	10.5	23.95	82.01
15	LACT	shave	1	10.5	25.36	71.02
14	LACT	shave	1	10.5	23.50	61.04
43	LACT	shave	1	10.5	21.40	64.98
17	LACT	shave	1	10.5	23.52	69.60
18	LACT	shave	1	10.5	29.39	82.28
49	LACT	shave	1	10.5	27.36	76.52
62	LACT	shave	1	10.5	24.55	66.16
64	LACT	shave	1	10.5	25.54	63.85
52	LACT	shave	1	10.5	24.02	65.79
34	LACT	non-shave	2	10.5	20.66	69.27
39	LACT	non-shave	2	10.5	19.52	44.16
35	LACT	non-shave	2	10.5	22.34	54.76
53	LACT	non-shave	2	10.5	21.29	56.09
56	LACT	non-shave	2	10.5	21.59	63.66
9	LACT	non-shave	2	10.5	27.14	71.95
4	LACT	non-shave	2	10.5	27.59	60.96
28	LACT	non-shave	2	10.5	22.84	67.19
41	LACT	non-shave	2	10.5	24.55	51.21
48	LACT	non-shave	2	10.5	27.00	67.85
51	LACT	non-shave	2	10.5	19.64	52.60
11	LACT	non-shave	2	10.5	26.34	68.93
20	LACT	non-shave	2	10.5	23.28	69.60
29	LACT	non-shave	2	10.5	20.23	64.34
23	LACT	non-shave	2	10.5	28.55	79.96
47	LACT	non-shave	2	10.5	17.43	49.29
66	LACT	non-shave	2	10.5	18.21	51.75
21	LACT	non-shave	2	10.5	26.04	74.31
31	LACT	non-shave	2	10.5	20.33	56.42
36	LACT	non-shave	2	10.5	22.17	65.90
13	LACT	shave	1	12.5	32.27	83.07
37	LACT	shave	1	12.5	23.66	68.11
42	LACT	shave	1	12.5	25.96	64.66
55	LACT	shave	1	12.5	21.21	69.43
65	LACT	shave	1	12.5	24.17	66.70
8	LACT	shave	1	12.5	30.87	79.47
32	LACT	shave	1	12.5	23.43	80.50
19	LACT	shave	1	12.5	32.00	73.78
40	LACT	shave	1	12.5	24.77	64.85
7	LACT	shave	1	12.5	26.61	79.90
5	LACT	shave	1	12.5	25.80	91.28
15	LACT	shave	1	12.5	24.93	76.47
14	LACT	shave	1	12.5	22.52	65.96
43	LACT	shave	1	12.5	22.88	70.85
17	LACT	shave	1	12.5	22.18	75.71
18	LACT	shave	1	12.5	29.91	92.30
49	LACT	shave	1	12.5	27.68	87.38
62	LACT	shave	1	12.5	25.68	73.48
64	LACT	shave	1	12.5	29.23	70.93
52	LACT	shave	1	12.5	26.52	73.80
34	LACT	non-shave	2	12.5	21.29	76.92
39	LACT	non-shave	2	12.5	19.63	48.33
35	LACT	non-shave	2	12.5	23.34	60.36
53	LACT	non-shave	2	12.5	20.09	60.44
56	LACT	non-shave	2	12.5	21.91	64.69
9	LACT	non-shave	2	12.5	27.77	81.28
4	LACT	non-shave	2	12.5	26.18	66.18
28	LACT	non-shave	2	12.5	24.20	77.05
41	LACT	non-shave	2	12.5	23.52	55.11
48	LACT	non-shave	2	12.5	27.05	75.16
51	LACT	non-shave	2	12.5	21.95	55.64
11	LACT	non-shave	2	12.5	26.74	77.65
20	LACT	non-shave	2	12.5	25.84	76.28
29	LACT	non-shave	2	12.5	23.64	70.28
23	LACT	non-shave	2	12.5	30.38	88.48
47	LACT	non-shave	2	12.5	16.30	51.40
66	LACT	non-shave	2	12.5	20.61	57.69
21	LACT	non-shave	2	12.5	25.11	81.41
31	LACT	non-shave	2	12.5	19.97	61.22
36	LACT	non-shave	2	12.5	19.70	68.73
13	LACT	shave	1	14.5	29.45	92.75
37	LACT	shave	1	14.5	20.55	70.67
42	LACT	shave	1	14.5	25.23	72.35
55	LACT	shave	1	14.5	23.66	71.54
65	LACT	shave	1	14.5	21.29	74.65
8	LACT	shave	1	14.5	26.25	83.92
32	LACT	shave	1	14.5	18.48	84.84
19	LACT	shave	1	14.5	24.84	81.07
40	LACT	shave	1	14.5	23.58	72.87
7	LACT	shave	1	14.5	26.53	84.71
5	LACT	shave	1	14.5	20.76	97.73
15	LACT	shave	1	14.5	23.26	80.29
14	LACT	shave	1	14.5	18.63	69.51
43	LACT	shave	1	14.5	20.53	75.82
17	LACT	shave	1	14.5	17.84	80.18
18	LACT	shave	1	14.5	21.07	99.82
49	LACT	shave	1	14.5	24.54	92.37
62	LACT	shave	1	14.5	22.95	78.07
64	LACT	shave	1	14.5	24.06	71.28
52	LACT	shave	1	14.5	21.21	77.20
34	LACT	non-shave	2	14.5	21.35	82.48
39	LACT	non-shave	2	14.5	15.46	52.06
35	LACT	non-shave	2	14.5	23.43	63.02
53	LACT	non-shave	2	14.5	20.58	61.46
56	LACT	non-shave	2	14.5	16.90	63.23
9	LACT	non-shave	2	14.5	24.55	86.13
4	LACT	non-shave	2	14.5	23.51	70.40
28	LACT	non-shave	2	14.5	21.75	83.92
41	LACT	non-shave	2	14.5	16.50	59.54
48	LACT	non-shave	2	14.5	24.57	78.71
51	LACT	non-shave	2	14.5	16.88	56.25
11	LACT	non-shave	2	14.5	23.13	83.50
20	LACT	non-shave	2	14.5	23.34	79.97
29	LACT	non-shave	2	14.5	20.54	73.08
23	LACT	non-shave	2	14.5	24.43	93.42
47	LACT	non-shave	2	14.5	13.99	52.83
66	LACT	non-shave	2	14.5	16.23	63.73
21	LACT	non-shave	2	14.5	23.43	83.28
31	LACT	non-shave	2	14.5	16.50	66.72
36	LACT	non-shave	2	14.5	16.48	66.58
13	LACT	shave	1	16.5	31.41	100.41
37	LACT	shave	1	16.5	17.20	68.95
42	LACT	shave	1	16.5	25.73	75.98
55	LACT	shave	1	16.5	19.08	70.77
65	LACT	shave	1	16.5	21.62	78.58
8	LACT	shave	1	16.5	25.64	88.02
32	LACT	shave	1	16.5	16.79	83.37
19	LACT	shave	1	16.5	26.23	83.86
40	LACT	shave	1	16.5	21.66	75.99
7	LACT	shave	1	16.5	28.00	90.07
5	LACT	shave	1	16.5	25.32	98.98
15	LACT	shave	1	16.5	22.20	82.93
14	LACT	shave	1	16.5	15.23	71.31
43	LACT	shave	1	16.5	21.72	78.92
17	LACT	shave	1	16.5	16.14	79.67
18	LACT	shave	1	16.5	23.38	102.26
49	LACT	shave	1	16.5	21.93	91.78
62	LACT	shave	1	16.5	21.20	78.82
64	LACT	shave	1	16.5	20.16	69.53
52	LACT	shave	1	16.5	22.57	75.34
34	LACT	non-shave	2	16.5	22.21	84.53
39	LACT	non-shave	2	16.5	15.55	52.80
35	LACT	non-shave	2	16.5	19.64	65.86
53	LACT	non-shave	2	16.5	16.32	56.60
56	LACT	non-shave	2	16.5	14.02	58.92
9	LACT	non-shave	2	16.5	25.75	90.31
4	LACT	non-shave	2	16.5	23.59	75.29
28	LACT	non-shave	2	16.5	21.19	88.12
41	LACT	non-shave	2	16.5	22.45	60.58
48	LACT	non-shave	2	16.5	25.45	81.81
51	LACT	non-shave	2	16.5	15.63	55.43
11	LACT	non-shave	2	16.5	21.87	85.60
20	LACT	non-shave	2	16.5	20.36	84.45
29	LACT	non-shave	2	16.5	20.16	78.05
23	LACT	non-shave	2	16.5	28.07	96.86
47	LACT	non-shave	2	16.5	14.36	53.31
66	LACT	non-shave	2	16.5	16.59	65.54
21	LACT	non-shave	2	16.5	22.31	87.52
31	LACT	non-shave	2	16.5	18.25	68.03
36	LACT	non-shave	2	16.5	15.82	60.56
