"Price" "Bedrooms" "PublicRooms" "Rooms" "Bathrooms" "FloorArea" "EPC" "Tax" "DayAdded" "DateAdded" "Latitude" "Longitude" "UniCommuteTime" "HouseType" "Furnished"
1603 4 1 5 1 156 "D" "F" 0 "2024-09-10" 57.02672 -2.53623 362.4223 "Detached" "Unfurnished"
488 1 1 2 1 NA NA NA 0 "2024-09-04" 57.51109 -2.6952 645.7231 "Flat" "Fully furnished"
726 2 1 3 1 34 "E" "A" 0 "2024-07-24" 57.19294 -1.89137 164.984 "Flat" "Unfurnished"
620 2 1 3 1 94 "D" "C" 0 "2024-06-18" 57.25328 -1.81227 266.8865 "Flat" "Unfurnished"
1414 4 2 6 2 204 "E" "E" 0 "2024-06-07" 57.38128 -1.91297 339.1345 "Detached" "Fully furnished"
796 1 1 2 1 NA "D" "E" 0 "2024-10-03" 56.97159 -2.11941 250.3625 "Flat" "Unfurnished"
867 3 1 4 1 99 "C" "C" 0 "2024-06-08" 57.14566 -1.8009 217.472 "Terraced" "Unfurnished"
315 1 1 2 1 45 "D" "C" 0 "2024-06-28" 57.0709 -1.97885 133.446 "Flat" "Fully furnished"
858 1 1 2 1 59 "C" "B" 0 "2024-09-13" 56.8699 -2.24671 394.5149 "Flat" "Fully furnished"
1310 2 1 3 1 NA "B" "E" 0 "2024-08-28" 57.01837 -2.08619 169.6015 "Flat" "Part furnished"
787 1 2 3 2 73 "E" "C" 0 "2024-08-30" 57.21427 -2.28196 163.5142 "Semi-Detached" "Fully furnished"
1525 4 1 5 2 127 "B" "F" 0 "2024-06-06" 57.21687 -1.7212 288.4079 "Detached" "Unfurnished"
551 1 2 3 2 46 "D" "A" 0 "2024-09-18" 56.97889 -2.0076 228.0375 "Flat" "Fully furnished"
1284 4 1 5 2 165 "D" "F" 0 "2024-10-03" 57.20152 -2.55762 353.0885 "Detached" "Fully furnished"
1089 3 1 4 1 NA "D" "D" 0 "2024-07-21" 57.29115 -1.91559 221.2779 "Terraced" "Part furnished"
380 1 1 2 2 65 "E" "B" 0 "2024-09-04" 57.17534 -1.84866 180.9695 "Semi-Detached" "Fully furnished"
1422 2 1 3 2 70 "B" "F" 0 "2024-08-01" 57.29563 -2.05051 191.2415 "Flat" "Part furnished"
619 2 1 3 1 67 "D" "A" 0 "2024-09-19" 57.06049 -2.22497 150.1263 "Detached" "Fully furnished"
613 2 1 3 1 NA "C" "C" 0 "2024-09-05" 57.0295 -2.00725 176.471 "Flat" "Unfurnished"
912 3 1 4 2 75 "B" "C" 0 "2024-09-19" 57.29724 -2.08841 202.2274 "Detached" "Unfurnished"
978 3 1 4 2 NA "D" "D" 0 "2024-06-29" 57.00799 -2.00684 216.5673 "Detached" "Fully furnished"
487 2 1 3 2 56 "D" "C" 0 "2024-06-24" 57.14491 -2.35851 188.2466 "Flat" "Part furnished"
762 1 3 4 2 95 "D" "D" 0 "2024-08-11" 57.1054 -2.41249 251.3893 "Flat" "Unfurnished"
870 2 1 3 2 64 "D" "C" 0 "2024-07-27" 57.34222 -2.00802 248.0932 "Flat" "Unfurnished"
1103 4 1 5 1 103 "E" "E" 0 "2024-08-17" 57.32329 -2.08552 219.1592 "Semi-Detached" "Unfurnished"
1684 4 1 5 1 NA "C" "F" 0 "2024-06-23" 57.26045 -1.85267 261.8553 "Detached" "Fully furnished"
629 2 1 3 2 NA "E" "C" 0 "2024-09-24" 57.28649 -2.05856 180.0505 "Detached" "Fully furnished"
1038 3 1 4 1 NA "D" "D" 0 "2024-08-22" 57.01776 -1.99402 201.5956 "Flat" "Fully furnished"
994 3 1 4 1 82 "E" "C" 0 "2024-08-22" 57.12897 -1.73191 269.0749 "Detached" "Unfurnished"
811 3 1 4 1 101 "E" "D" 0 "2024-09-14" 57.26108 -2.47219 310.9445 "Detached" "Fully furnished"
1431 4 1 5 1 103 "C" "E" 0 "2024-07-30" 57.30713 -1.89153 243.4489 "Semi-Detached" "Fully furnished"
435 1 1 2 1 37 "D" "B" 0 "2024-09-06" 57.03735 -2.07477 146.4039 "Flat" "Fully furnished"
683 1 1 2 1 45 "D" "B" 0 "2024-07-26" 57.25333 -1.91961 198.0127 "Flat" "Part furnished"
848 2 1 3 1 NA "C" "C" 0 "2024-08-03" 57.08379 -2.23998 137.0551 "Flat" "Unfurnished"
1114 3 1 4 1 NA "C" "D" 0 "2024-07-05" 56.88788 -1.93767 347.5706 "Detached" "Fully furnished"
490 1 1 2 1 38 NA "A" 0 "2024-06-13" 57.12152 -2.28165 134.8348 "Flat" "Fully furnished"
780 4 1 5 1 84 "C" "C" 0 "2024-07-22" 57.21889 -1.74852 275.7611 "Flat" "Fully furnished"
1019 1 1 2 1 NA "B" "B" 0 "2024-06-15" 57.17371 -1.82651 210.5167 "Semi-Detached" "Fully furnished"
1050 2 2 4 2 137 "D" "E" 0 "2024-07-07" 57.15556 -2.63715 388.1542 "Detached" "Fully furnished"
300 1 1 2 2 42 "D" NA 0 "2024-08-25" 57.2178 -1.96062 143.6184 "Flat" "Part furnished"
709 2 2 4 1 46 "E" "B" 0 "2024-09-19" 57.27362 -1.82466 268.9339 "Flat" "Part furnished"
544 1 1 2 1 39 "D" "B" 0 "2024-07-10" 57.05321 -2.31351 213.1021 "Flat" "Fully furnished"
353 1 1 2 1 33 "D" "A" 0 "2024-06-16" 57.20779 -1.81943 231.0654 "Flat" "Part furnished"
402 1 1 2 1 50 "D" "C" 0 "2024-08-31" 57.34493 -2.08977 238.4236 "Semi-Detached" "Unfurnished"
745 2 1 3 1 87 "C" "C" 0 "2024-06-24" 57.30131 -2.19188 201.6088 "Flat" "Fully furnished"
350 1 1 2 1 NA "D" "B" 0 "2024-08-09" 57.01596 -1.97641 195.8104 "Terraced" "Unfurnished"
394 1 2 3 1 65 "E" "B" 0 "2024-06-12" 57.02886 -2.53883 378.7878 "Flat" "Fully furnished"
531 1 1 2 1 55 "E" "C" 0 "2024-09-16" 57.31396 -2.28427 242.4476 "Flat" "Fully furnished"
1084 2 1 3 1 NA "C" "C" 0 "2024-09-20" 57.13401 -2.27895 137.1614 "Flat" "Part furnished"
587 2 1 3 1 41 "D" "B" 0 "2024-07-08" 57.04623 -2.13815 134.9213 "Flat" "Fully furnished"
697 3 1 4 1 71 "C" "C" 0 "2024-07-06" 57.06821 -2.28949 183.921 "Flat" "Fully furnished"
516 2 1 3 1 33 NA "B" 0 "2024-06-16" 56.99707 -2.07866 220.4241 "Flat" "Fully furnished"
742 3 1 4 1 NA "D" "C" 0 "2024-09-30" 57.31581 -2.16407 252.049 "Flat" "Part furnished"
855 4 1 5 2 97 "D" "D" 0 "2024-06-20" 57.29063 -1.99493 205.4811 "Flat" "Fully furnished"
452 2 1 3 1 NA "D" "B" 0 "2024-06-19" 57.30049 -2.30634 239.9516 "Detached" "Fully furnished"
679 2 1 3 1 NA "D" "B" 0 "2024-09-28" 56.95989 -2.33338 298.4024 "Flat" "Fully furnished"
375 1 1 2 1 41 "E" "B" 0 "2024-07-14" 57.15916 -2.3436 189.8621 "Flat" "Fully furnished"
825 2 1 3 1 NA "E" "D" 0 "2024-09-06" 57.05585 -2.20315 144.7715 "Flat" "Part furnished"
1126 4 1 5 2 NA "D" "D" 0 "2024-08-25" 57.17032 -1.73655 264.5407 "Detached" "Fully furnished"
1283 4 1 5 1 96 "D" NA 0 "2024-09-20" 57.00824 -2.0421 187.2386 "Semi-Detached" "Part furnished"
525 2 1 3 2 69 "D" "B" 0 "2024-06-12" 57.39917 -1.78537 401.643 "Detached" "Unfurnished"
703 1 1 2 1 54 "C" "C" 0 "2024-07-03" 57.01343 -1.97521 187.9269 "Flat" "Unfurnished"
883 3 1 4 2 73 "D" "B" 0 "2024-06-12" 57.3049 -2.02947 209.299 "Flat" "Unfurnished"
904 1 1 2 1 68 "C" "C" 0 "2024-09-20" 57.02069 -2.05577 163.8339 "Flat" "Fully furnished"
865 2 1 3 1 71 "B" "D" 0 "2024-09-09" 57.05647 -1.88719 196.006 "Flat" "Fully furnished"
757 3 1 4 1 98 "C" "B" 0 "2024-09-06" 56.97455 -1.86078 294.8372 "Detached" "Fully furnished"
839 2 1 3 2 30 "B" "A" 0 "2024-09-14" 57.07843 -2.29651 161.7992 "Terraced" "Part furnished"
719 2 1 3 1 61 "D" "D" 0 "2024-08-26" 57.14884 -1.74227 278.276 "Detached" "Unfurnished"
1141 2 2 4 4 104 "C" "D" 0 "2024-08-27" 57.15203 -2.37154 212.9979 "Detached" "Fully furnished"
412 1 0 1 1 52 "B" "D" 0 "2024-07-23" 57.24402 -2.06123 154.2029 "Flat" "Unfurnished"
810 3 1 4 1 NA "D" "B" 0 "2024-08-10" 57.56234 -1.86621 587.8756 "Terraced" "Unfurnished"
553 2 1 3 1 66 "A" "C" 0 "2024-08-02" 57.27298 -1.88965 212.0251 "Flat" "Fully furnished"
695 2 1 3 1 51 "D" "C" 0 "2024-09-22" 57.06754 -2.21698 153.2755 "Flat" "Fully furnished"
838 1 2 3 2 50 "D" "B" 0 "2024-06-16" 57.17391 -2.52573 314.6053 "Flat" "Unfurnished"
900 1 1 2 1 38 "B" "A" 0 "2024-07-08" 57.09735 -2.23867 127.3506 "Terraced" "Fully furnished"
733 2 1 3 1 NA "C" "B" 0 "2024-07-05" 57.67096 -2.36295 712.6138 "Flat" "Unfurnished"
1257 3 1 4 1 NA "B" "E" 0 "2024-07-09" 57.03028 -2.28062 198.5202 "Detached" "Fully furnished"
891 3 1 4 2 92 "C" "C" 0 "2024-08-30" 57.21714 -1.86864 189.8398 "Flat" "Fully furnished"
953 1 1 2 1 82 "B" "C" 0 "2024-08-06" 57.2778 -1.9161 202.131 "Semi-Detached" "Part furnished"
1343 2 2 4 1 121 "C" "F" 0 "2024-06-19" 57.18834 -1.77514 245.5031 "Detached" "Unfurnished"
1346 5 1 6 1 NA "C" "E" 0 "2024-08-02" 57.30743 -1.87182 287.3538 "Detached" "Fully furnished"
467 2 1 3 1 69 "C" "D" 0 "2024-07-24" 57.04076 -2.26784 178.1948 "Semi-Detached" "Unfurnished"
617 1 2 3 2 NA "D" NA 0 "2024-07-17" 57.17708 -2.30927 153.6721 "Detached" "Fully furnished"
843 2 2 4 1 71 "C" "D" 0 "2024-06-22" 56.94389 -2.0001 302.8375 "Detached" "Fully furnished"
652 1 1 2 1 37 "B" "B" 0 "2024-07-12" 57.07975 -2.17685 108.9812 "Flat" "Fully furnished"
788 1 2 3 2 59 "D" "C" 0 "2024-07-22" 57.26033 -1.87592 219.107 "Flat" "Part furnished"
1103 2 1 3 1 NA "C" "C" 0 "2024-09-24" 57.28022 -2.19052 190.773 "Flat" "Fully furnished"
557 1 2 3 2 46 "C" "B" 0 "2024-06-14" 57.099 -1.85184 193.6997 "Flat" "Unfurnished"
382 1 1 2 1 74 "B" "B" 0 "2024-09-30" 57.04464 -1.94904 178.2581 "Flat" "Fully furnished"
437 1 1 2 1 49 "C" "B" 0 "2024-06-14" 57.01714 -1.97407 186.8637 "Flat" "Unfurnished"
770 3 1 4 1 NA "D" "D" 0 "2024-07-19" 56.96637 -2.10867 263.0994 "Flat" "Fully furnished"
920 3 1 4 3 NA "B" "C" 0 "2024-08-02" 57.25707 -2.10338 148.334 "Detached" "Fully furnished"
1588 5 1 6 2 155 "C" "F" 0 "2024-06-15" 56.84585 -2.25267 400.6546 "Flat" "Fully furnished"
528 2 1 3 1 41 "D" "C" 0 "2024-09-05" 57.07318 -2.23787 158.1227 "Flat" "Unfurnished"
566 1 1 2 1 30 "D" "C" 0 "2024-07-31" 57.06265 -2.19329 134.4753 "Semi-Detached" "Fully furnished"
887 3 1 4 3 NA "D" "C" 0 "2024-06-27" 57.09173 -1.87426 201.9469 "Flat" "Fully furnished"
794 1 1 2 1 35 "D" "C" 0 "2024-06-09" 57.09158 -2.21542 106.0156 "Flat" "Unfurnished"
611 1 1 2 1 50 "C" "B" 0 "2024-06-08" 57.10994 -2.23692 123.7088 "Terraced" "Fully furnished"
850 3 1 4 1 73 "C" "C" 0 "2024-08-09" 57.11405 -2.37334 210.5848 "Flat" "Fully furnished"
1045 2 2 4 2 96 "B" "C" 0 "2024-06-23" 57.25512 -2.5293 322.0691 "Flat" "Fully furnished"
575 3 1 4 1 59 "E" "B" 0 "2024-08-04" 57.1411 -1.78416 243.137 "Flat" "Fully furnished"
462 1 1 2 1 NA "D" "D" 0 "2024-09-23" 57.19345 -1.86888 184.7431 "Flat" "Part furnished"
1032 3 1 4 2 83 "B" "D" 0 "2024-09-24" 57.29233 -2.11362 185.0847 "Semi-Detached" "Part furnished"
756 2 1 3 1 52 "D" "D" 0 "2024-07-25" 57.04563 -2.49751 334.5011 "Flat" "Fully furnished"
719 2 1 3 1 NA "E" "B" 0 "2024-08-03" 57.05292 -2.24771 160.7003 "Flat" "Unfurnished"
402 3 1 4 2 NA "D" "A" 0 "2024-07-16" 56.9395 -2.26257 290.3493 "Semi-Detached" "Unfurnished"
850 1 2 3 1 81 "C" "D" 0 "2024-08-16" 57.02314 -2.20249 185.0859 "Semi-Detached" "Unfurnished"
300 1 1 2 1 NA "C" "A" 0 "2024-06-10" 57.18849 -1.91019 141.5438 "Flat" "Fully furnished"
759 3 1 4 1 NA "C" "D" 0 "2024-08-28" 57.22198 -1.77814 250.4147 "Detached" "Unfurnished"
769 1 1 2 1 46 "D" "D" 0 "2024-08-07" 57.23334 -1.91605 162.0922 "Flat" "Part furnished"
509 2 1 3 2 69 "D" "C" 0 "2024-08-30" 57.44991 -2.30789 438.6224 "Terraced" "Unfurnished"
791 3 1 4 1 NA "D" "B" 0 "2024-08-22" 57.17458 -2.44877 270.4049 "Semi-Detached" "Fully furnished"
822 2 1 3 1 NA "B" "C" 0 "2024-07-03" 57.27686 -1.82873 271.0566 "Detached" "Fully furnished"
785 3 1 4 1 NA "C" "D" 0 "2024-06-12" 56.99445 -2.13406 213.9949 "Terraced" "Fully furnished"
1017 3 1 4 1 114 "D" "D" 0 "2024-06-25" 57.00772 -2.21517 226.2687 "Terraced" "Part furnished"
507 2 1 3 1 NA "E" "B" 0 "2024-08-17" 57.24053 -2.25771 164.5273 "Detached" "Fully furnished"
1081 2 2 4 2 84 "D" "E" 0 "2024-06-11" 57.17865 -2.37496 214.6755 "Terraced" "Fully furnished"
1030 4 1 5 2 92 "E" "D" 0 "2024-07-19" 56.96599 -1.89772 267.2646 "Semi-Detached" "Fully furnished"
899 2 2 4 1 76 "E" "B" 0 "2024-08-24" 57.03644 -2.53814 350.4755 "Terraced" "Fully furnished"
970 4 1 5 1 98 "D" "D" 0 "2024-06-10" 57.35796 -1.91086 284.4558 "Flat" "Part furnished"
935 3 1 4 1 104 "C" "D" 0 "2024-09-27" 57.28798 -2.36268 252.9647 "Flat" "Fully furnished"
915 2 1 3 1 87 "D" "C" 0 "2024-06-27" 57.18847 -2.32028 181.9173 "Detached" "Unfurnished"
618 2 1 3 1 48 "D" "A" 0 "2024-09-28" 57.22343 -2.01695 120.6246 "Flat" "Unfurnished"
856 1 1 2 1 55 "B" "C" 0 "2024-10-03" 57.24659 -1.96404 173.555 "Detached" "Fully furnished"
405 1 1 2 1 50 "C" "A" 0 "2024-08-25" 57.05073 -2.05977 144.9323 "Flat" "Unfurnished"
737 1 1 2 2 43 "E" "D" 0 "2024-07-19" 57.19469 -1.84976 202.752 "Semi-Detached" "Fully furnished"
852 2 1 3 1 NA "C" "E" 0 "2024-07-17" 57.12287 -1.7625 247.3626 "Terraced" "Fully furnished"
557 2 1 3 1 80 "D" "D" 0 "2024-06-27" 57.16911 -1.57125 372.4616 "Detached" "Fully furnished"
1005 3 1 4 1 83 "C" "C" 0 "2024-07-21" 57.25924 -2.33166 228.0271 "Flat" "Fully furnished"
849 1 2 3 2 NA "D" "B" 0 "2024-07-22" 57.3808 -1.87086 342.2557 "Flat" "Unfurnished"
760 1 1 2 1 50 "C" "C" 0 "2024-07-12" 57.12126 -2.44662 260.5281 "Flat" "Unfurnished"
1535 5 1 6 2 NA "D" "E" 0 "2024-06-18" 56.88491 -1.68882 473.5029 "Semi-Detached" "Fully furnished"
656 2 1 3 1 73 "C" "D" 0 "2024-07-11" 57.12649 -1.91003 155.2027 "Semi-Detached" "Fully furnished"
386 2 1 3 2 30 "E" "A" 0 "2024-07-04" 57.11061 -2.19241 93.9728 "Flat" "Fully furnished"
819 1 1 2 1 49 "D" "C" 0 "2024-09-15" 57.08924 -2.26525 153.8242 "Flat" "Fully furnished"
808 3 1 4 2 34 "C" "B" 0 "2024-07-22" 57.2588 -2.11999 148.004 "Flat" "Fully furnished"
665 1 1 2 1 40 "D" "C" 0 "2024-08-25" 57.27296 -2.08669 151.1484 "Flat" "Part furnished"
1083 4 1 5 2 NA "D" "D" 0 "2024-08-13" 56.99602 -1.9252 256.5062 "Detached" "Fully furnished"
683 1 1 2 1 42 NA "C" 0 "2024-09-01" 57.11505 -1.8549 184.8103 "Flat" "Unfurnished"
362 1 1 2 2 31 "D" "E" 0 "2024-09-26" 57.0779 -2.07036 110.4615 "Detached" "Fully furnished"
690 1 1 2 2 34 "C" "A" 0 "2024-07-12" 57.23367 -1.87937 190.3291 "Detached" "Unfurnished"
531 1 1 2 1 39 "D" "D" 0 "2024-09-28" 57.21124 -1.71638 294.283 "Flat" "Unfurnished"
813 3 1 4 1 NA "D" "C" 0 "2024-08-14" 57.02407 -2.61071 412.176 "Detached" "Fully furnished"
770 1 1 2 1 NA "C" "C" 0 "2024-07-12" 57.08328 -1.96641 137.3831 "Semi-Detached" "Unfurnished"
1092 2 1 3 1 NA "C" "D" 0 "2024-06-28" 57.27567 -2.26278 193.3245 "Semi-Detached" "Fully furnished"
1002 2 1 3 1 NA "C" "C" 0 "2024-06-28" 56.99765 -2.16897 223.1381 "Flat" "Unfurnished"
663 2 1 3 1 41 "D" "D" 0 "2024-10-03" 57.06213 -2.18015 117.9732 "Flat" "Unfurnished"
691 1 1 2 2 44 "D" "D" 0 "2024-09-15" 57.22398 -1.94215 160.7761 "Flat" "Unfurnished"
1095 3 1 4 2 84 "D" "C" 0 "2024-08-22" 57.03132 -2.2841 213.8342 "Flat" "Fully furnished"
698 1 1 2 1 33 "E" "D" 0 "2024-07-14" 57.26537 -2.08208 138.663 "Flat" "Fully furnished"
677 1 2 3 2 50 "D" "E" 0 "2024-06-06" 57.19467 -1.93261 137.1229 "Flat" "Unfurnished"
518 2 1 3 1 65 "D" "D" 0 "2024-09-02" 56.67663 -2.01493 635.8388 "Detached" "Fully furnished"
360 1 1 2 1 30 "E" "B" 0 "2024-09-23" 57.08302 -1.97736 131.5057 "Flat" "Fully furnished"
781 1 1 2 1 NA "D" "C" 0 "2024-09-03" 57.41344 -1.83763 389.2301 "Flat" "Part furnished"
1121 3 2 5 2 NA "D" "E" 0 "2024-06-09" 57.03852 -2.17735 179.6081 "Flat" "Fully furnished"
635 2 1 3 1 46 "C" "B" 0 "2024-07-10" 57.28376 -2.41926 288.6435 "Terraced" "Unfurnished"
1033 3 1 4 1 NA "E" "F" 0 "2024-06-17" 56.99018 -2.12328 222.6239 "Detached" "Fully furnished"
704 2 1 3 2 91 "D" "D" 0 "2024-09-13" 57.27792 -2.01924 172.4738 "Detached" "Fully furnished"
480 1 1 2 1 NA "C" "A" 0 "2024-09-13" 57.27897 -2.13981 156.9168 "Detached" "Part furnished"
645 1 1 2 1 40 "C" "C" 0 "2024-08-24" 57.19372 -1.97233 117.9321 "Flat" "Fully furnished"
791 3 1 4 1 60 "D" "D" 0 "2024-10-04" 56.92729 -2.15366 292.0159 "Flat" "Unfurnished"
1014 3 1 4 1 117 "E" "E" 0 "2024-09-06" 57.31434 -2.04899 227.4878 "Terraced" "Unfurnished"
875 3 1 4 1 92 "B" "C" 0 "2024-08-24" 57.292 -1.80784 285.0743 "Detached" "Unfurnished"
927 3 1 4 3 82 "D" "C" 0 "2024-09-03" 57.29636 -1.85758 256.0108 "Flat" "Fully furnished"
850 2 1 3 1 86 "D" "E" 0 "2024-09-01" 57.03873 -2.25873 195.9406 "Detached" "Fully furnished"
962 2 1 3 2 80 "C" "E" 0 "2024-07-17" 57.1188 -1.87712 177.1019 "Terraced" "Unfurnished"
905 1 1 2 1 NA "D" "C" 0 "2024-08-16" 57.22041 -2.20971 131.8526 "Flat" "Unfurnished"
854 1 1 2 2 NA "E" "C" 0 "2024-08-06" 57.37568 -2.0459 332.7706 "Flat" "Fully furnished"
381 1 1 2 1 NA "C" "D" 0 "2024-06-16" 57.11374 -2.32891 168.1903 "Flat" "Part furnished"
638 3 1 4 1 NA "C" "A" 0 "2024-08-03" 57.248 -1.91569 180.4819 "Flat" "Part furnished"
1228 3 2 5 2 113 "D" "F" 0 "2024-08-06" 57.371 -1.98976 308.3984 "Flat" "Part furnished"
380 1 1 2 2 NA "D" "A" 0 "2024-09-28" 57.03529 -2.40988 272.637 "Flat" "Part furnished"
1256 2 2 4 2 111 "F" "E" 0 "2024-08-11" 57.23517 -1.75194 293.0121 "Detached" "Part furnished"
677 1 0 1 1 65 "C" "A" 0 "2024-06-30" 56.99325 -2.27862 244.9721 "Flat" "Part furnished"
542 1 0 1 1 54 "D" "C" 0 "2024-08-23" 57.13583 -2.32014 167.9166 "Flat" "Fully furnished"
474 2 1 3 1 66 "C" "B" 0 "2024-06-24" 57.02961 -2.09776 169.2801 "Semi-Detached" "Unfurnished"
413 1 1 2 1 NA "E" "A" 0 "2024-08-12" 57.06625 -2.00006 129.7651 "Terraced" "Unfurnished"
550 2 1 3 1 41 "C" "C" 0 "2024-07-19" 57.06373 -2.03656 161.3198 "Flat" "Fully furnished"
693 1 0 1 1 44 "C" "C" 0 "2024-08-02" 57.04 -1.98432 162.9379 "Flat" "Fully furnished"
765 2 2 4 2 48 "E" NA 0 "2024-10-01" 57.06143 -2.04922 120.8953 "Flat" "Fully furnished"
487 1 1 2 1 39 "C" "C" 0 "2024-09-11" 57.24324 -2.09483 122.5717 "Detached" "Unfurnished"
864 2 1 3 1 53 "D" "C" 0 "2024-08-14" 57.25278 -2.00988 166.9339 "Flat" "Fully furnished"
498 1 1 2 1 NA "D" "E" 0 "2024-07-18" 56.8653 -2.12684 369.6969 "Flat" "Part furnished"
300 1 1 2 1 30 "D" "A" 0 "2024-06-13" 57.14824 -1.93196 130.6422 "Detached" "Part furnished"
703 2 1 3 1 NA "D" "B" 0 "2024-07-06" 57.12145 -2.26384 123.2553 "Flat" "Unfurnished"
772 1 1 2 1 30 "C" "A" 0 "2024-09-05" 57.22982 -2.07229 121.3662 "Flat" "Unfurnished"
616 2 1 3 2 NA "D" "D" 0 "2024-09-30" 57.444 -1.91233 403.8521 "Flat" "Part furnished"
799 1 1 2 2 35 "C" "B" 0 "2024-07-07" 57.12247 -1.9471 113.4525 "Flat" "Unfurnished"
562 2 1 3 1 64 "F" "B" 0 "2024-06-08" 57.17095 -2.40418 224.4644 "Flat" "Part furnished"
829 3 1 4 1 96 "E" "C" 0 "2024-07-01" 57.29048 -2.04684 188.6562 "Detached" "Fully furnished"
342 1 0 1 1 NA "B" "A" 0 "2024-07-20" 57.23991 -2.13624 121.8277 "Detached" "Part furnished"
834 1 1 2 1 43 "C" "D" 0 "2024-08-18" 57.20506 -1.80937 256.0705 "Flat" "Unfurnished"
1012 2 2 4 2 86 "D" "B" 0 "2024-09-11" 57.11054 -1.84748 191.1693 "Terraced" "Fully furnished"
859 2 1 3 1 87 "D" "E" 0 "2024-06-12" 57.10738 -1.75403 260.1061 "Detached" "Unfurnished"
1115 2 2 4 2 NA "D" "E" 0 "2024-08-28" 57.09594 -2.31245 175.0337 "Detached" "Fully furnished"
1127 3 1 4 1 107 "C" "F" 0 "2024-06-12" 56.98022 -2.20082 251.7723 "Flat" "Fully furnished"
1106 2 1 3 1 49 "D" "C" 0 "2024-06-20" 57.05467 -2.23359 147.0255 "Flat" "Unfurnished"
1694 5 1 6 2 114 "E" "G" 0 "2024-07-26" 57.08472 -1.55433 416.2416 "Detached" "Unfurnished"
869 3 1 4 1 NA "C" "D" 0 "2024-08-19" 57.00237 -2.13279 197.674 "Flat" "Fully furnished"
608 1 2 3 1 NA "D" "B" 0 "2024-09-17" 57.11942 -2.25698 122.1668 "Flat" "Fully furnished"
610 2 1 3 2 89 "C" "C" 0 "2024-07-18" 57.28845 -2.07214 198.4432 "Flat" "Unfurnished"
1258 2 2 4 2 NA "C" NA 0 "2024-08-27" 56.79669 -2.25629 473.1715 "Detached" "Unfurnished"
583 2 1 3 2 48 "D" "A" 0 "2024-09-19" 57.19666 -1.95331 131.4756 "Flat" "Fully furnished"
1006 3 1 4 2 77 "D" "D" 0 "2024-09-10" 57.16146 -2.31375 158.825 "Terraced" "Fully furnished"
593 1 1 2 1 35 "D" "C" 0 "2024-08-20" 57.06228 -2.03066 121.9458 "Flat" "Fully furnished"
1256 4 1 5 2 127 "C" "E" 0 "2024-08-24" 57.00115 -2.32046 249.0611 "Detached" "Fully furnished"
751 2 1 3 1 65 "D" "C" 0 "2024-07-10" 57.06659 -2.30312 178.4518 "Flat" "Fully furnished"
1491 5 1 6 3 NA "B" "C" 0 "2024-09-03" 56.95252 -2.18025 276.4182 "Detached" "Unfurnished"
517 2 1 3 1 50 "D" "B" 0 "2024-09-26" 57.00367 -2.07465 193.5268 "Flat" "Unfurnished"
985 3 1 4 2 63 "D" "E" 0 "2024-09-22" 56.99606 -2.19004 214.8085 "Semi-Detached" "Fully furnished"
303 1 0 1 1 35 "C" NA 0 "2024-09-11" 56.85577 -1.9615 387.6679 "Flat" "Unfurnished"
920 2 1 3 2 66 "C" "A" 0 "2024-09-28" 57.571 -2.1955 590.5492 "Flat" "Part furnished"
1308 4 1 5 3 NA "A" "E" 0 "2024-09-13" 57.13813 -2.58079 354.1858 "Semi-Detached" "Unfurnished"
