"time" "cond" "rat" "values"
"141" 5 "Pinacidil" 5 38.9
"142" 6 "Pinacidil" 5 30.7
"143" 7 "Pinacidil" 5 25.8
"144" 8 "Pinacidil" 5 22.1
"145" 9 "Pinacidil" 5 19.7
"146" 10 "Pinacidil" 5 18
"147" 11 "Pinacidil" 5 16.4
"148" 12 "Pinacidil" 5 15.6
"149" 13 "Pinacidil" 5 15.2
"150" 14 "Pinacidil" 5 14.8
"151" 0 "Placebo" 6 100
"152" 1 "Placebo" 6 78.9
"153" 2 "Placebo" 6 65.6
"154" 3 "Placebo" 6 56.3
"155" 4 "Placebo" 6 47.7
"156" 5 "Placebo" 6 40.2
"157" 6 "Placebo" 6 37.5
"158" 7 "Placebo" 6 32
"159" 8 "Placebo" 6 29.3
"160" 9 "Placebo" 6 27
"161" 10 "Placebo" 6 21.9
"162" 11 "Placebo" 6 19.9
"163" 12 "Placebo" 6 18
"164" 13 "Placebo" 6 17.6
"165" 14 "Placebo" 6 17.2
"166" 0 "Pinacidil" 6 100
"167" 1 "Pinacidil" 6 83.7
"168" 2 "Pinacidil" 6 74.3
"169" 3 "Pinacidil" 6 69.3
"170" 4 "Pinacidil" 6 59.9
"171" 5 "Pinacidil" 6 53.7
"172" 6 "Pinacidil" 6 49
"173" 7 "Pinacidil" 6 44.4
"174" 8 "Pinacidil" 6 40.1
"175" 9 "Pinacidil" 6 36.6
"176" 10 "Pinacidil" 6 33.5
"177" 11 "Pinacidil" 6 31.1
"178" 12 "Pinacidil" 6 28.8
"179" 13 "Pinacidil" 6 27.2
"180" 14 "Pinacidil" 6 25.3
"181" 0 "Placebo" 7 100
"182" 1 "Placebo" 7 96.3
"183" 2 "Placebo" 7 86.9
"184" 3 "Placebo" 7 76.6
"185" 4 "Placebo" 7 71.5
"186" 5 "Placebo" 7 60.7
"187" 6 "Placebo" 7 56.1
"188" 7 "Placebo" 7 50.5
"189" 8 "Placebo" 7 45.3
"190" 9 "Placebo" 7 39.3
"191" 10 "Placebo" 7 33.6
"192" 11 "Placebo" 7 29
"193" 12 "Placebo" 7 26.2
"194" 13 "Placebo" 7 23.8
"195" 14 "Placebo" 7 21
"196" 0 "Pinacidil" 7 100
"197" 1 "Pinacidil" 7 82.5
"198" 2 "Pinacidil" 7 73
"199" 3 "Pinacidil" 7 61.5
"200" 4 "Pinacidil" 7 51.5
"201" 5 "Pinacidil" 7 46
"202" 6 "Pinacidil" 7 41
"203" 7 "Pinacidil" 7 35.5
"204" 8 "Pinacidil" 7 31
"205" 9 "Pinacidil" 7 28.5
"206" 10 "Pinacidil" 7 25
"207" 11 "Pinacidil" 7 23
"208" 12 "Pinacidil" 7 21.5
"209" 13 "Pinacidil" 7 20
"210" 14 "Pinacidil" 7 19
