"lake_size" "phosphorous" "country" "weight_trawl" "num_species"
44.2 1.004 "Thailand" 67.47 2
74.6 1.362 "Cambodia" 84.76 17
18.4 1.125 "Cambodia" 53.64 3
45.7 0.954 "Loas" 61.44 7
90.8 0.414 "Loas" 83.41 27
83.2 1.383 "Loas" 62.64 21
82.7 1.224 "Cambodia" 84.73 20
24.4 0.537 "Thailand" 53.41 2
20.7 0.418 "Loas" 44.11 5
63.6 1.021 "Cambodia" 78.63 11
38.2 1.13 "Cambodia" 69.77 5
63.9 0.751 "Thailand" 73.83 8
36.3 1.309 "Thailand" 57.89 15
25.4 1.045 "Cambodia" 58.19 5
74.1 0.326 "Loas" 63.05 16
17.7 0.117 "Thailand" 62.75 3
48.3 1.312 "Cambodia" 68.05 4
51.9 0.241 "Loas" 53.41 8
59.2 0.537 "Loas" 61.14 17
37.3 0.708 "Cambodia" 69.95 4
50.1 0.962 "Cambodia" 78.41 9
88.3 0.575 "Thailand" 99.17 15
49.6 0.912 "Loas" 59.03 4
83 1.262 "Loas" 74.81 12
85 0.568 "Thailand" 93.73 13
59.9 0.635 "Thailand" 88.2 14
43.7 0.948 "Cambodia" 63.63 10
22.1 0.794 "Cambodia" 61.05 5
86.7 0.253 "Thailand" 90.78 16
34.7 1.284 "Cambodia" 69.63 6
15 0.724 "Thailand" 64.14 4
87.7 1.151 "Loas" 66.31 17
69.1 1.214 "Thailand" 72.64 13
21.7 0.647 "Thailand" 56.17 1
55 0.121 "Loas" 61.98 9
88.2 1.141 "Cambodia" 86.98 18
58 0.196 "Cambodia" 76.7 8
43.2 0.845 "Thailand" 65.55 8
63.1 0.272 "Loas" 76.11 13
36.2 1.046 "Cambodia" 60.68 7
35.2 0.178 "Thailand" 65.93 5
28 1.217 "Cambodia" 59.42 6
40.3 1.028 "Cambodia" 73.18 5
90.7 0.442 "Loas" 76.34 18
22.6 0.325 "Cambodia" 53.99 2
17.5 0.181 "Thailand" 63.84 3
21.6 0.121 "Loas" 52.22 5
66.6 1.267 "Cambodia" 70.74 9
60.8 0.467 "Thailand" 77.55 6
83.1 0.178 "Cambodia" 90.52 11
65.2 0.587 "Loas" 65.63 16
70.4 0.912 "Cambodia" 80.35 10
52.7 1.226 "Loas" 53.3 12
64.1 0.576 "Loas" 70.69 12
77.4 0.289 "Cambodia" 86.23 14
74.5 1.183 "Cambodia" 83.55 6
90.3 1.328 "Loas" 72.42 18
46 1.483 "Cambodia" 73.24 6
35.6 1.017 "Cambodia" 61.75 2
43.6 0.456 "Cambodia" 71.64 7
10.9 0.998 "Cambodia" 57.52 2
25.1 0.731 "Thailand" 58.33 5
79.1 0.376 "Loas" 64.5 25
29 0.949 "Cambodia" 61.84 4
29.6 1.464 "Loas" 39.07 4
16.3 0.379 "Cambodia" 65.18 3
30.1 0.709 "Cambodia" 66.46 3
70 0.575 "Loas" 67.37 21
79.5 0.148 "Cambodia" 88.43 10
50.8 0.239 "Loas" 62.91 11
41.8 0.687 "Loas" 60.63 8
30.2 0.166 "Cambodia" 65.31 6
19.1 0.137 "Cambodia" 62.94 2
42 0.343 "Loas" 55.5 6
56.9 0.629 "Cambodia" 83.15 11
27.8 0.924 "Thailand" 72.67 3
46.5 0.571 "Loas" 51.27 10
27.9 0.792 "Loas" 40.44 6
51.2 1.153 "Cambodia" 61.18 3
39 0.337 "Loas" 54.96 6
63.3 1.281 "Thailand" 74.21 8
40.7 0.548 "Cambodia" 74.25 9
39.1 0.427 "Thailand" 58.35 5
53.8 0.534 "Thailand" 76.27 10
70.7 1.206 "Thailand" 83.78 10
28.1 0.456 "Loas" 40.44 6
43.8 1.392 "Loas" 41.92 8
31.8 0.308 "Cambodia" 66.34 6
61.7 0.403 "Cambodia" 72.03 8
25.1 0.977 "Thailand" 54.07 7
80.8 0.46 "Loas" 71.33 18
71.2 1.09 "Thailand" 85.35 16
64.8 1.139 "Loas" 56.97 16
60.7 0.467 "Cambodia" 74.27 13
40.5 0.902 "Cambodia" 60.02 7
53.4 1.382 "Thailand" 70.92 8
81.7 1.092 "Loas" 68.36 16
57.7 1.282 "Cambodia" 82.46 11
78.9 1.388 "Loas" 71.01 14
35.6 0.512 "Thailand" 75.82 6
68.1 1.011 "Thailand" 79.21 6
31.7 0.298 "Loas" 53.72 2
58.7 1.295 "Loas" 59.8 11
49.5 1.032 "Thailand" 68.87 16
31.7 1.127 "Thailand" 69.95 0
56.3 0.541 "Loas" 68.26 9
84.9 1.035 "Cambodia" 86.68 13
84 0.749 "Thailand" 83.18 18
32.5 1.01 "Cambodia" 64.14 6
36.4 1.2 "Thailand" 73.37 9
90.8 1.362 "Loas" 81.82 18
60.8 0.838 "Cambodia" 67.37 11
86.9 0.321 "Cambodia" 81.85 14
48.3 0.477 "Loas" 58.58 10
43.4 0.288 "Cambodia" 76.08 9
64.1 0.433 "Cambodia" 79.94 12
22.5 1.112 "Thailand" 54.97 3
57 0.978 "Cambodia" 83.56 7
29.6 0.733 "Cambodia" 72.19 3
88.9 0.988 "Loas" 77.15 22
59.3 0.841 "Cambodia" 76.16 3
52.2 0.562 "Thailand" 75.88 5
43 1.179 "Loas" 51.31 5
82.2 0.989 "Cambodia" 83.74 15
39.9 1.184 "Loas" 43.49 6
33.6 0.35 "Loas" 48.54 9
24 0.655 "Cambodia" 63.36 9
24.1 1.448 "Thailand" 67.22 8
49.5 0.628 "Loas" 57.52 13
30.7 0.209 "Loas" 53.33 11
27.7 0.841 "Thailand" 64.86 6
65.3 1.43 "Loas" 65.75 23
13.9 1.299 "Thailand" 53.06 5
67.5 0.869 "Cambodia" 81.35 7
38.9 1.031 "Loas" 53.38 8
43.5 0.801 "Thailand" 68.31 7
77.3 1.394 "Loas" 64.22 19
85.3 0.229 "Cambodia" 88.48 16
33.2 0.796 "Loas" 54.72 8
88.8 1.195 "Thailand" 88.57 18
69.7 1.318 "Cambodia" 79.71 8
66.3 1.362 "Loas" 72 10
14.3 1.236 "Cambodia" 56.13 4
42.4 0.315 "Cambodia" 66.99 2
49.2 1.122 "Loas" 63 6
55.9 1.163 "Thailand" 75.72 9
67.3 1.025 "Loas" 67.03 17
85.1 1.371 "Loas" 77.5 29
60.7 0.646 "Cambodia" 78.38 6
45.1 1.44 "Cambodia" 68.01 9
54.5 0.739 "Loas" 61.55 10
14.8 0.373 "Cambodia" 54.56 1
31.4 0.927 "Cambodia" 60.88 7
42.6 0.318 "Thailand" 75.05 13
26.2 0.827 "Thailand" 64.23 5
78.2 0.678 "Thailand" 87.39 15
22.5 1.258 "Loas" 47.54 7
75.9 0.888 "Cambodia" 77.02 10
54.8 0.739 "Loas" 52.35 14
64.3 0.369 "Thailand" 80.36 13
24.1 0.761 "Cambodia" 58.76 5
61.9 0.426 "Loas" 69.73 8
35.6 0.54 "Cambodia" 64.12 2
69.4 1.314 "Loas" 58.33 12
42.7 0.723 "Cambodia" 70.29 12
89.5 0.707 "Cambodia" 88.06 18
89.3 0.762 "Thailand" 96.97 12
69.6 1.267 "Loas" 58.71 12
31.1 0.114 "Thailand" 55.12 4
28.2 0.533 "Cambodia" 61.52 7
58.6 0.221 "Cambodia" 75 4
31.9 1.252 "Thailand" 71.9 8
53.5 0.76 "Loas" 54.86 10
74.4 0.845 "Cambodia" 83.87 12
23.8 0.654 "Thailand" 61.49 6
43.2 0.736 "Loas" 58.05 14
48.7 0.261 "Loas" 56.17 7
81.2 0.144 "Thailand" 97.48 14
85.9 0.132 "Cambodia" 87.47 15
82.3 0.209 "Loas" 79.87 19
65.3 0.606 "Thailand" 82.94 6
87.9 1.166 "Thailand" 85 15
52.3 1.141 "Cambodia" 72.46 3
57.3 0.237 "Cambodia" 85.13 10
37.6 1.447 "Thailand" 61.2 2
38.5 0.3 "Cambodia" 65.04 6
11.6 0.779 "Cambodia" 58.82 4
51.2 0.891 "Cambodia" 70.83 11
81.4 1.405 "Thailand" 85.7 15
10.5 1.248 "Loas" 40.84 5
15.9 0.846 "Loas" 41.27 5
23.5 0.638 "Loas" 42.46 6
73.2 0.864 "Cambodia" 91.46 10
70.3 1.215 "Cambodia" 79.3 11
89.7 0.978 "Cambodia" 95.97 18
48.3 0.246 "Thailand" 76.54 12
16.1 0.369 "Loas" 39.8 4
63.2 1.279 "Cambodia" 90.56 15
72.2 0.771 "Thailand" 82.42 13
21.2 1.188 "Loas" 33.46 8
42.5 1.245 "Cambodia" 66.63 8
28.4 0.516 "Cambodia" 64.31 4
14.8 0.417 "Thailand" 61.22 7
42.5 0.969 "Loas" 56.87 7
15.3 0.623 "Cambodia" 52.98 2
28.5 1.34 "Loas" 55.86 2
14.5 0.276 "Thailand" 64.83 4
65 0.321 "Cambodia" 78.87 12
34.4 0.994 "Cambodia" 55.99 9
18.3 0.361 "Thailand" 54.24 2
15.9 1.03 "Cambodia" 57.79 3
82.2 0.817 "Loas" 70.49 15
71.8 1.138 "Thailand" 86.47 14
77 0.571 "Loas" 66.73 16
90.5 0.256 "Cambodia" 88.27 21
18.5 0.663 "Loas" 45.35 6
18.1 0.86 "Cambodia" 56.99 3
75.5 1.136 "Thailand" 82.65 9
74.3 0.342 "Thailand" 85.47 15
10.8 0.921 "Loas" 35.68 10
73.9 0.8 "Cambodia" 74.92 15
69.8 1.411 "Cambodia" 73.69 8
61.7 1.374 "Thailand" 80.3 4
49.4 0.314 "Thailand" 76.96 8
22.8 0.53 "Cambodia" 73.46 4
10.7 1.078 "Cambodia" 44.65 6
47.1 1.169 "Cambodia" 68.1 3
50.4 0.814 "Thailand" 72.55 8
41.9 0.417 "Cambodia" 72.54 8
48.1 0.332 "Thailand" 67.78 9
68.5 0.543 "Loas" 68.71 11
14.5 0.163 "Loas" 37.81 5
39.1 1.037 "Loas" 51.45 7
75.8 1.145 "Loas" 61.54 21
78.5 0.448 "Thailand" 83.4 10
29.5 0.754 "Thailand" 58.67 7
39 0.162 "Loas" 56.02 7
80.3 0.238 "Loas" 80.23 22
80 1.356 "Loas" 66.49 21
34.3 0.961 "Loas" 44.71 8
22.1 0.997 "Loas" 42.76 12
67.7 0.745 "Cambodia" 79.82 10
18.5 0.492 "Loas" 42.99 8
12.8 1.423 "Cambodia" 49.15 2
92 0.132 "Cambodia" 93.09 21
12.9 0.348 "Loas" 37.83 6
37.7 1.46 "Cambodia" 63.69 9
85 1.22 "Thailand" 89.02 18
60.6 1.5 "Thailand" 79.05 10
33.5 0.465 "Thailand" 66.35 3
70.5 0.915 "Thailand" 84.67 5
78.4 0.201 "Thailand" 83.85 11
35.8 1.223 "Thailand" 63.89 1
50.4 1.333 "Loas" 56.95 12
67.2 1.345 "Cambodia" 73.52 4
62.6 0.116 "Thailand" 77.18 5
62.8 0.438 "Thailand" 77.62 11
90.2 0.95 "Loas" 77.37 21
44 0.608 "Thailand" 58.94 6
19.8 1.093 "Loas" 48.29 2
53.1 0.159 "Cambodia" 77.7 10
28.5 1.02 "Thailand" 64.18 7
49.9 0.423 "Cambodia" 76.07 7
40.4 0.482 "Cambodia" 69.81 2
90.6 1.126 "Thailand" 79.26 13
41.8 0.35 "Cambodia" 70.1 5
28.8 0.64 "Cambodia" 62.22 8
61.1 1.058 "Loas" 53.33 8
21.2 0.681 "Cambodia" 62.5 5
89.3 0.859 "Thailand" 84.71 18
52.2 0.737 "Thailand" 72.17 4
23.4 0.278 "Loas" 37.89 7
61 0.144 "Loas" 62.52 11
90.8 0.332 "Thailand" 99.54 15
64.8 1.218 "Thailand" 78.56 11
44.4 0.299 "Loas" 54.65 13
36.5 0.204 "Cambodia" 74.21 3
78.5 0.14 "Thailand" 95.83 20
21.8 0.684 "Cambodia" 57.26 2
25.8 1.296 "Loas" 40.3 8
83.5 0.563 "Cambodia" 92.52 10
35.3 0.722 "Loas" 52.84 3
39.8 0.679 "Loas" 58.81 7
74.3 0.592 "Cambodia" 79.86 8
25.9 1.399 "Cambodia" 58.67 2
11.5 1.402 "Loas" 38.84 4
43.3 0.492 "Cambodia" 66.06 7
49.6 1.121 "Cambodia" 64.95 11
44.6 0.403 "Cambodia" 61.61 7
38.1 1.416 "Thailand" 64.57 4
81.1 0.19 "Thailand" 89.76 17
47.3 1.484 "Loas" 51.96 12
53.8 0.394 "Loas" 60.32 11
89 0.546 "Cambodia" 85.2 14
73.5 0.27 "Thailand" 89.89 9
27.1 0.918 "Cambodia" 61.65 5
35.3 1.022 "Loas" 46.58 4
89.7 1.495 "Thailand" 88.26 8
58 0.372 "Thailand" 81.84 14
72.4 1.243 "Cambodia" 80.59 11
40.6 0.967 "Thailand" 77.94 3
73.1 1.48 "Loas" 72.19 16
54.1 0.719 "Cambodia" 71.17 3
84.9 1.114 "Cambodia" 83.76 18
25.2 0.206 "Cambodia" 65.21 6
33.1 0.982 "Thailand" 63.61 6
17.8 0.4 "Cambodia" 61.05 3
27.3 1.387 "Cambodia" 54.6 3
90.1 1.237 "Cambodia" 91.81 26
34.3 1.299 "Cambodia" 62.93 5
69.5 1.243 "Cambodia" 85.93 14
74.4 0.684 "Cambodia" 86.42 11
18.6 1.469 "Cambodia" 53.19 4
29.6 0.799 "Thailand" 60.88 7
32.2 0.798 "Thailand" 64.66 6
18.3 0.581 "Cambodia" 54.27 6
19.7 0.194 "Thailand" 60.42 5
91.3 1.37 "Cambodia" 84.54 16
90.9 0.41 "Loas" 77.1 21
21.2 0.517 "Thailand" 63.69 2
84.2 1.022 "Loas" 73.72 18
57.3 0.893 "Cambodia" 82.01 11
42.4 1.46 "Cambodia" 66.92 8
46.9 0.247 "Cambodia" 77.64 6
67.9 0.861 "Thailand" 82.99 9
16.8 1.382 "Cambodia" 51.42 5
37.8 1.322 "Cambodia" 69.26 8
65.8 1.366 "Cambodia" 83.42 10
36 1.19 "Thailand" 59.55 7
78.2 0.334 "Cambodia" 89.31 8
27.6 0.27 "Thailand" 70.47 7
50.8 0.266 "Loas" 60.45 10
32.6 0.705 "Cambodia" 67.63 6
25.7 1.188 "Cambodia" 66.08 10
88 1.366 "Loas" 75.88 16
36.4 0.697 "Loas" 42.57 4
49.2 1.233 "Cambodia" 69.97 7
12.3 0.756 "Cambodia" 58 2
54.9 1.05 "Cambodia" 69.23 5
62.8 1.162 "Cambodia" 76.33 4
58.9 1.057 "Cambodia" 74.05 9
36.4 1.287 "Cambodia" 52.65 5
83.1 0.536 "Cambodia" 93.96 18
61.4 0.356 "Thailand" 74.67 9
34.8 0.231 "Thailand" 59.98 8
41.8 0.121 "Thailand" 66.96 3
23.2 1.363 "Thailand" 54.83 5
80.7 1.214 "Cambodia" 88.15 17
88.2 0.209 "Cambodia" 85.63 15
56.2 0.242 "Thailand" 71.79 9
37 0.343 "Thailand" 64.75 7
91.7 0.84 "Cambodia" 93.54 25
29.3 1.129 "Cambodia" 66.5 7
60.2 0.266 "Cambodia" 76.68 10
18.9 0.245 "Loas" 45.26 3
49.9 0.873 "Thailand" 78.02 8
18.2 0.507 "Cambodia" 43.74 6
23.2 0.717 "Cambodia" 58.32 9
33.2 0.266 "Cambodia" 69.85 2
57.9 1.39 "Cambodia" 73.84 6
70 1.126 "Cambodia" 85.37 20
23.6 0.746 "Loas" 43.61 10
81.1 1.041 "Thailand" 91.68 12
68.1 0.504 "Cambodia" 83.35 5
72.4 1.029 "Thailand" 81.3 16
22.1 0.625 "Loas" 44.63 3
39.4 1.039 "Thailand" 64.33 4
65.2 0.678 "Cambodia" 87.55 17
53 1.096 "Thailand" 79.38 12
38.7 0.494 "Loas" 55.25 8
29.7 1.134 "Cambodia" 59.57 7
14.8 0.905 "Loas" 36.87 2
29.4 0.134 "Loas" 44.91 5
83 0.608 "Thailand" 86.58 12
76.6 0.717 "Loas" 69.89 17
71.3 0.665 "Loas" 70.54 19
22.7 0.863 "Cambodia" 69.18 3
20.2 1.308 "Cambodia" 59.98 3
89.9 1.172 "Cambodia" 88.2 19
45.8 0.192 "Thailand" 77.96 4
48 0.265 "Loas" 51.39 7
23.6 0.534 "Thailand" 55.12 3
58 0.532 "Cambodia" 71.52 9
32.2 1.125 "Cambodia" 62.62 5
28.9 0.298 "Thailand" 54.37 3
66.7 1.469 "Loas" 71.06 18
33.2 1.297 "Cambodia" 66.36 6
76.5 0.917 "Loas" 75.95 19
17.7 1.359 "Cambodia" 54.59 4
77.4 0.113 "Loas" 78.64 12
45 1.198 "Loas" 55.58 7
72 1.371 "Cambodia" 86.96 12
64.3 0.255 "Cambodia" 77.95 11
46.5 0.752 "Loas" 52.79 9
61.4 1.044 "Cambodia" 80.06 8
10 0.752 "Loas" 32.29 4
27.8 1.325 "Thailand" 69.56 3
67.8 0.662 "Loas" 68.09 15
27.6 0.893 "Cambodia" 64.6 7
76.7 1.015 "Thailand" 86.82 13
35.2 0.5 "Loas" 59.82 6
66.4 1.349 "Thailand" 76.66 16
86.5 0.294 "Loas" 76.72 18
19.5 0.88 "Cambodia" 57.78 1
20.5 0.454 "Cambodia" 57.95 3
65.6 0.203 "Thailand" 82.57 9
45.2 1.168 "Loas" 51.84 15
78.4 0.949 "Thailand" 90.75 18
89.7 0.566 "Thailand" 92.29 18
15.8 1.374 "Thailand" 53.51 0
47.7 0.926 "Thailand" 71.27 7
67.5 1.425 "Loas" 59.85 15
17.1 1.363 "Cambodia" 56.9 8
91.4 0.642 "Loas" 76.9 20
30.8 1.106 "Thailand" 63.15 6
14.1 1.258 "Loas" 38.73 7
66.3 1.379 "Cambodia" 80.83 10
74.5 0.283 "Cambodia" 88.49 7
39 0.162 "Cambodia" 70.5 6
40 1.484 "Thailand" 69.77 7
33.5 0.645 "Loas" 46.7 4
16.6 1.095 "Loas" 37.87 8
40 0.836 "Loas" 54.55 8
24.6 0.642 "Cambodia" 55.7 6
54 1.106 "Cambodia" 79.52 6
51.3 1.332 "Cambodia" 70.62 11
87.5 0.27 "Loas" 77.54 14
38 0.614 "Thailand" 62.72 7
48.1 1.206 "Loas" 60.68 13
16.8 0.402 "Thailand" 59.13 3
80.5 0.969 "Loas" 74.16 13
42.4 0.629 "Thailand" 66.93 6
70.3 0.946 "Cambodia" 78.68 3
24.1 0.89 "Loas" 41.23 7
47.3 1.072 "Loas" 63.95 10
73.2 1.24 "Loas" 67.43 10
15.1 0.735 "Loas" 50.76 7
76.8 0.618 "Loas" 71.81 20
34.7 1.252 "Thailand" 66.31 8
39.9 0.818 "Cambodia" 63.66 7
35.6 1.138 "Cambodia" 70.2 8
13.1 1.289 "Loas" 35.83 4
52.5 0.716 "Cambodia" 76.67 6
65.7 0.668 "Cambodia" 74.37 8
84.1 1.291 "Cambodia" 91.35 18
12.1 1.118 "Loas" 39.87 6
91.1 0.961 "Cambodia" 81.27 27
34.8 1.08 "Cambodia" 60.12 8
87 1.147 "Loas" 69.93 22
66.4 0.467 "Cambodia" 86.31 9
46.7 0.487 "Cambodia" 74.68 5
77 0.379 "Thailand" 83.29 9
13.2 1.42 "Loas" 36.3 5
70.6 0.48 "Loas" 72.77 23
38.6 0.798 "Cambodia" 58.88 6
78 0.151 "Cambodia" 88.69 19
53.9 1.222 "Loas" 59.7 16
32.5 0.667 "Thailand" 66.39 4
75.7 0.744 "Thailand" 80.26 16
17.5 1.404 "Loas" 36.24 5
78.2 0.646 "Thailand" 89.39 11
32.7 1.144 "Thailand" 63.81 7
71.8 1.197 "Cambodia" 86.42 3
89.1 0.39 "Cambodia" 98.22 17
16.7 0.179 "Thailand" 58.52 4
80.1 0.564 "Thailand" 97.3 15
75.8 1.057 "Thailand" 85.49 13
41.6 1.175 "Thailand" 69.08 6
36.9 1.014 "Loas" 52.54 8
26.8 1.407 "Loas" 38.48 6
56.7 0.105 "Cambodia" 78.73 10
82.8 0.63 "Cambodia" 87.92 25
53.4 1.001 "Thailand" 74.71 9
58.1 0.239 "Thailand" 78.27 5
64.6 0.121 "Thailand" 79.89 10
53.5 0.308 "Cambodia" 69.95 6
51.8 1.143 "Cambodia" 67.63 10
11.3 1.294 "Cambodia" 41.17 1
13.9 0.555 "Cambodia" 56.68 2
86.2 0.473 "Thailand" 90.9 20
73.1 0.441 "Thailand" 88.42 15
26.5 1.439 "Loas" 45.32 2
63.3 0.796 "Cambodia" 75.96 8
63.6 1.072 "Cambodia" 75.67 11
42.4 1.381 "Loas" 45.56 11
76.6 0.952 "Cambodia" 81.58 10
54.9 0.468 "Cambodia" 88.25 4
82.6 1.387 "Cambodia" 90.49 9
55.4 1.096 "Loas" 53.21 13
84.3 0.161 "Thailand" 80.6 22
58.2 0.987 "Thailand" 73.07 14
44.7 1.294 "Cambodia" 70.91 9
87.9 0.267 "Loas" 79.56 30
68.1 1.433 "Loas" 61.66 18
43.9 0.157 "Cambodia" 68.06 8
11.5 0.339 "Thailand" 56.14 4
56.5 0.132 "Loas" 65.56 10
50.2 0.646 "Thailand" 87.71 9
82.1 1.093 "Cambodia" 86.75 11
76.7 1.018 "Thailand" 83.88 5
80 0.781 "Thailand" 89.74 20
40.2 0.213 "Thailand" 66.2 4
81.7 1.455 "Thailand" 91.08 16
22.4 0.884 "Thailand" 52.1 1
33.1 1.104 "Loas" 48.94 9
64.7 0.497 "Loas" 56.16 20
90.1 1.223 "Cambodia" 94.24 13
57.8 0.981 "Loas" 59.83 11
53.2 1.373 "Loas" 65.16 14
15 0.655 "Loas" 35.19 4
89.5 0.532 "Cambodia" 87.09 14
19.9 1.124 "Loas" 48.2 7
17.2 1.073 "Thailand" 56.01 4
82.2 0.709 "Thailand" 80.2 16
51.7 1.231 "Cambodia" 75.67 11
37.7 0.528 "Loas" 48.11 14
83.3 1.38 "Thailand" 89.54 16
12.6 0.982 "Loas" 43.61 4
29.5 1.188 "Thailand" 61.03 2
66.3 1.104 "Cambodia" 82.83 15
28.5 1.028 "Loas" 54.21 5
36.1 1.084 "Thailand" 61.9 6
24.3 0.37 "Loas" 41.61 6
75.7 0.937 "Thailand" 88.13 20
22 1.174 "Cambodia" 58.38 3
77.5 0.431 "Thailand" 88.53 19
37.1 1.068 "Loas" 52.52 5
40.7 0.229 "Thailand" 70.72 3
61.6 1.132 "Loas" 65.08 14
17.9 1.423 "Cambodia" 48.56 2
11.8 1.03 "Loas" 39.99 5
91.4 1.034 "Thailand" 102.48 22
57.9 0.688 "Thailand" 76.84 6
74.1 0.293 "Loas" 69.09 13
83.1 0.757 "Thailand" 91.96 12
71.9 0.231 "Thailand" 91.69 11
90.3 1.156 "Loas" 76.47 23
13.6 0.613 "Thailand" 57.63 3
84.1 0.895 "Thailand" 87.08 16
81 0.636 "Loas" 70.3 19
73.6 0.385 "Cambodia" 83.27 13
40.9 0.849 "Loas" 59.56 8
13.5 0.64 "Cambodia" 62.53 3
39.9 1.307 "Thailand" 60.36 4
32.4 0.231 "Cambodia" 66.46 5
79.7 0.189 "Cambodia" 91.52 15
39.7 0.333 "Thailand" 61.77 6
35 1.41 "Thailand" 64.51 4
72.2 0.72 "Thailand" 81.86 15
79.3 1.044 "Loas" 62.5 17
47.5 0.151 "Thailand" 76.94 4
69.8 0.756 "Loas" 65.02 19
18.5 0.164 "Thailand" 51.27 3
28 0.968 "Cambodia" 71.75 4
88.2 1.311 "Thailand" 94.19 19
71.7 0.374 "Loas" 75.56 18
77.2 0.495 "Loas" 72.84 24
44.3 1.311 "Cambodia" 56.2 5
58.7 0.145 "Cambodia" 75.69 13
75.5 1.195 "Cambodia" 76.83 15
82.8 0.737 "Cambodia" 86.8 24
41.6 0.212 "Loas" 56.54 3
17.4 1.369 "Loas" 42.24 8
61.3 0.365 "Loas" 64.91 15
71.1 1.145 "Thailand" 75 15
17 0.704 "Cambodia" 59.28 5
34.6 1.039 "Cambodia" 60.4 5
60.4 0.362 "Loas" 53.58 14
71.7 1.334 "Loas" 59.89 12
85.2 0.168 "Cambodia" 96.05 10
49 0.408 "Loas" 59.73 5
56.5 0.467 "Cambodia" 72.91 15
70.4 1.174 "Cambodia" 63 12
80.3 0.64 "Loas" 76.24 18
84.6 0.49 "Cambodia" 93.64 14
14.6 0.209 "Thailand" 55.77 4
51.2 0.8 "Thailand" 69.45 11
38.7 0.732 "Thailand" 60.06 5
79.3 1.481 "Thailand" 82.35 9
76.1 0.299 "Loas" 70.3 18
19.6 1.267 "Loas" 36.33 5
68.4 0.141 "Cambodia" 78.51 16
29.3 1.19 "Thailand" 66.41 2
16.1 0.42 "Loas" 39.18 3
86.7 0.287 "Loas" 79.22 27
22.9 0.367 "Loas" 46.64 6
63.1 0.402 "Loas" 67.52 14
