obs.number	treat	time	time_2	size	plot	obs.count	Recoded.treat
83	with.eiders	t60	end	Large	G	6	impact.no.excl
84	without.eiders	t60	end	Large	G	4	control.excl
85	with.eiders	t0	start	Small	H	9	impact.no.excl
86	without.eiders	t0	start	Small	H	46	control.excl
87	with.eiders	t60	end	Small	H	154	impact.no.excl
88	without.eiders	t60	end	Small	H	22	control.excl
89	with.eiders	t0	start	Medium	H	51	impact.no.excl
90	without.eiders	t0	start	Medium	H	13	control.excl
91	with.eiders	t60	end	Medium	H	25	impact.no.excl
92	without.eiders	t60	end	Medium	H	66	control.excl
93	with.eiders	t0	start	Large	H	3	impact.no.excl
94	without.eiders	t0	start	Large	H	4	control.excl
95	with.eiders	t60	end	Large	H	5	impact.no.excl
96	without.eiders	t60	end	Large	H	0	control.excl
97	with.eiders	t0	start	Small	I	36	impact.no.excl
98	without.eiders	t0	start	Small	I	86	control.excl
99	with.eiders	t60	end	Small	I	45	impact.no.excl
100	without.eiders	t60	end	Small	I	110	control.excl
101	with.eiders	t0	start	Medium	I	15	impact.no.excl
102	without.eiders	t0	start	Medium	I	28	control.excl
103	with.eiders	t60	end	Medium	I	1	impact.no.excl
104	without.eiders	t60	end	Medium	I	49	control.excl
105	with.eiders	t0	start	Large	I	5	impact.no.excl
106	without.eiders	t0	start	Large	I	9	control.excl
107	with.eiders	t60	end	Large	I	10	impact.no.excl
108	without.eiders	t60	end	Large	I	1	control.excl
109	with.eiders	t0	start	Small	J	107	impact.no.excl
110	without.eiders	t0	start	Small	J	126	control.excl
111	with.eiders	t60	end	Small	J	369	impact.no.excl
112	without.eiders	t60	end	Small	J	67	control.excl
113	with.eiders	t0	start	Medium	J	21	impact.no.excl
114	without.eiders	t0	start	Medium	J	52	control.excl
115	with.eiders	t60	end	Medium	J	53	impact.no.excl
116	without.eiders	t60	end	Medium	J	119	control.excl
117	with.eiders	t0	start	Large	J	2	impact.no.excl
118	without.eiders	t0	start	Large	J	0	control.excl
119	with.eiders	t60	end	Large	J	1	impact.no.excl
120	without.eiders	t60	end	Large	J	11	control.excl
121	with.eiders	t0	start	Small	K	91	impact.no.excl
122	without.eiders	t0	start	Small	K	38	control.excl
123	with.eiders	t60	end	Small	K	161	impact.no.excl
124	without.eiders	t60	end	Small	K	45	control.excl
125	with.eiders	t0	start	Medium	K	22	impact.no.excl
126	without.eiders	t0	start	Medium	K	35	control.excl
127	with.eiders	t60	end	Medium	K	1	impact.no.excl
128	without.eiders	t60	end	Medium	K	98	control.excl
129	with.eiders	t0	start	Large	K	2	impact.no.excl
130	without.eiders	t0	start	Large	K	16	control.excl
131	with.eiders	t60	end	Large	K	8	impact.no.excl
132	without.eiders	t60	end	Large	K	0	control.excl
133	with.eiders	t0	start	Small	L	8	impact.no.excl
134	without.eiders	t0	start	Small	L	127	control.excl
135	with.eiders	t60	end	Small	L	122	impact.no.excl
136	without.eiders	t60	end	Small	L	277	control.excl
137	with.eiders	t0	start	Medium	L	24	impact.no.excl
138	without.eiders	t0	start	Medium	L	25	control.excl
139	with.eiders	t60	end	Medium	L	75	impact.no.excl
140	without.eiders	t60	end	Medium	L	80	control.excl
141	with.eiders	t0	start	Large	L	2	impact.no.excl
142	without.eiders	t0	start	Large	L	3	control.excl
143	with.eiders	t60	end	Large	L	0	impact.no.excl
144	without.eiders	t60	end	Large	L	2	control.excl
