Species	Development_category	egg_mass	female_mass	Log_female_mass	Log_egg_mass	Ratio_egg_female	femur_length	n_for_femur
Picoides.dorsalis	a	5.1	67	1.8228	0.7076	7.7	22.6	11
Picoides.nuttallii	a	2.9	38	1.5832	0.4683	7.7	NA	NA
Picoides.pubescens	a	2.1	29	1.4564	0.3222	7.3	16.7	9
Picoides.scalaris	a	2.9	30	1.4814	0.4624	9.6	NA	NA
Picoides.villosus	a	4.4	76	1.8791	0.6435	5.8	24.3	10
Plegades.falcinellus	p	38.5	605	2.7818	1.5858	6.4	NA	NA
Pluvialis.apricaria	p	35.4	214	2.3304	1.5489	16.5	35.7	2
Pluvialis.dominica	p	27	154	2.1875	1.4314	17.5	33	1
Pluvialis.squatarola	p	35.2	214	2.3304	1.5465	16.4	37.4	3
Podceps.nigricollis	p	22.8	319	2.5031	1.3579	7.2	31.2	4
Podiceps.auritus	p	21	392	2.5927	1.3222	5.4	32.7	6
Podiceps.grisegena	p	38.3	1052	3.0222	1.5826	3.6	46.9	18
Podiceps.podiceps	p	21.6	358	2.5539	1.3336	6	NA	NA
Psophia.crepitans	p	72.6	1250	3.0969	1.8612	5.8	15.7	1
Psophia.leucoptera	p	83.2	1256	3.099	1.9201	6.6	NA	NA
Pterocles.alchata	a	21.9	225	2.3522	1.3399	9.7	NA	NA
Pterocles.coronatus	a	15.9	300	2.4771	1.2026	5.3	NA	NA
Pterocles.exustus	a	12.4	192	2.2822	1.0919	6.5	NA	NA
Pterocles.lichtensteini	a	15.7	248	2.3945	1.1947	6.3	NA	NA
Pterocles.orientalis	a	21.1	383	2.5832	1.3245	5.5	47.2	1
Pterocles.senegallus	a	17.6	255	2.4065	1.246	6.9	NA	NA
Puffinus.assimilis	p	32	222	2.3464	1.5051	14.4	23.7	1
Puffinus.gravis	p	102	870	2.9395	2.0086	11.7	NA	NA
Puffinus.ilherminieri	p	35	163	2.2122	1.5441	21.5	NA	NA
Puffinus.navitatus	p	63	324	2.5105	1.7993	19.4	NA	NA
Puffinus.puffinus	p	58	450	2.6532	1.7634	12.9	31	1
Puffinus.tenuirostris	p	82	530	2.7243	1.9138	15.5	36.9	4
Rhea.americana	p	609.3	23000	4.3617	2.7848	2.6	180.4	11
Rhynchotus.rufescens	p	38	928	2.9673	1.5798	4.1	71.1	4
Rhynochetos.jubatus	p	67.5	900	2.9542	1.8293	7.5	NA	NA
Rissa.brevirostris	p	49.4	367	2.5647	1.6937	13.5	NA	NA
Rissa.tridactyla	p	55.4	388	2.5883	1.7435	14.3	37.3	9
Rostratula.benghalensis	p	12	121	2.0828	1.0777	9.9	NA	NA
Rynchops.niger	p	26.9	254	2.4048	1.4298	10.6	34.8	2
Scopus.umbretta	a	31	423	2.6258	1.4914	7.3	46.8	1
Spheniscus.demersus	p	103	2960	3.4713	2.0128	3.5	74	2
Spheniscus.humboldti	p	109	4200	3.6232	2.0374	2.6	79	3
Spheniscus.magellanicus	p	120	4900	3.6902	2.0792	2.4	76.3	2
Stercorarius.longicaudus	p	44.3	307	2.4874	1.6467	14.4	36.2	5
Stercorarius.parasiticus	p	51.6	499	2.6981	1.713	10.3	38.4	10
Stercorarius.pomarinus	p	68	829	2.9186	1.8325	8.2	45.8	1
Stercorarius.skua	p	91.7	604	2.781	1.9626	15.2	NA	NA
Strix.aluco	a	38.5	524	2.7193	1.5853	7.3	60.8	4
Strix.nebulosa	a	52.6	1267	3.1028	1.7211	4.2	88.9	11
Strix.occidentalis	a	49	663	2.8215	1.6899	7.4	67.9	10
Strix.uralensis	a	37.3	863	2.936	1.5717	4.3	NA	NA
Strix.varia	a	45.5	873	2.9408	1.658	5.2	74.6	15
Struthio.camelus	p	1480	63000	4.7993	3.1703	2.3	289.2	15
Sula.abbotti	p	112	1500	3.1761	2.0492	7.5	NA	NA
Sula.bassana	p	105	3090	3.49	2.0212	3.4	NA	NA
Sula.capensis	p	105	2670	3.4265	2.0212	3.9	NA	NA
Sula.dactylatra	p	78	1902	3.2791	1.8921	4.1	61.2	2
Sula.leucogaster	p	54	1382	3.1405	1.7324	3.9	NA	NA
Sula.nebouxii	p	61	1840	3.2648	1.7853	3.3	NA	NA
Sula.serrator	p	94	2350	3.3711	1.9731	4	NA	NA
Sula.sula	a	58	1030	3.0128	1.7634	5.6	47	2
Sula.variegata	p	76	1410	3.1492	1.8808	5.4	54.9	1
Trogon.elegans	a	8.2	74	1.8681	0.9164	11.2	NA	NA
Turnix.sylvatica	p	3.4	40	1.5966	0.5361	8.7	NA	NA
Tyto.alba	a	26.6	57	1.7551	1.4249	46.7	58.1	26
Upupa.epops	a	4.5	61	1.7882	0.6532	7.3	22.4	1
Uria.aalge	NA	109	1001	3.0004	2.0374	10.9	48.6	6
Uria.lomvia	p	106	932	2.9694	2.0253	11.4	47.5	5
Zenaida.asiatica	a	7.7	153	2.1847	0.8865	5	NA	NA
Zenaida.macroura	a	6.5	116	2.0626	0.8129	5.6	27.3	4
